nThread;timeInt;user;real;sys;pCPU
2;0.000583;0.004;0.009;0.000;45.18
2;0.000379;0.004;0.008;0.000;46.29
2;0.000451;0.004;0.009;0.000;38.95
2;0.000572;0.001;0.009;0.004;45.06
2;0.000379;0.003;0.008;0.000;39.08
2;0.000503;0.004;0.009;0.000;44.00
2;0.000373;0.004;0.010;0.000;41.93
2;0.000393;0.004;0.012;0.000;30.32
2;0.000390;0.000;0.010;0.004;42.63
2;0.000562;0.000;0.011;0.004;42.25
2;0.000427;0.000;0.010;0.004;44.04
2;0.000453;0.005;0.011;0.000;42.41
2;0.000402;0.003;0.009;0.000;43.90
2;0.000422;0.005;0.011;0.000;42.62
2;0.000395;0.004;0.009;0.000;41.95
2;0.000392;0.004;0.011;0.000;40.65
2;0.000433;0.004;0.008;0.000;47.39
2;0.000361;0.004;0.008;0.000;48.40
2;0.000395;0.004;0.009;0.000;42.55
2;0.000395;0.003;0.008;0.000;42.06
2;0.000411;0.004;0.011;0.000;35.72
2;0.000403;0.003;0.009;0.000;40.06
2;0.000460;0.004;0.009;0.000;43.73
2;0.000448;0.004;0.010;0.000;42.87
2;0.000530;0.005;0.011;0.000;43.45
2;0.000414;0.004;0.010;0.000;39.41
2;0.000433;0.003;0.008;0.000;40.86
2;0.000366;0.003;0.008;0.000;41.83
2;0.000371;0.000;0.008;0.003;43.19
2;0.000390;0.001;0.008;0.004;49.16
2;0.000481;0.004;0.010;0.000;45.36
2;0.000364;0.003;0.007;0.000;44.66
2;0.000372;0.004;0.009;0.000;41.57
2;0.000377;0.003;0.007;0.000;46.63
2;0.000368;0.003;0.008;0.000;40.72
2;0.000372;0.003;0.007;0.000;41.16
2;0.000378;0.004;0.008;0.000;44.35
2;0.000357;0.004;0.010;0.000;39.82
2;0.000390;0.004;0.008;0.000;44.26
2;0.000370;0.003;0.007;0.000;44.08
2;0.000414;0.004;0.009;0.000;43.36
2;0.000366;0.000;0.008;0.003;43.77
2;0.000359;0.000;0.008;0.003;46.90
2;0.000377;0.004;0.009;0.000;38.45
2;0.000381;0.000;0.007;0.003;43.76
2;0.000450;0.004;0.009;0.000;41.71
2;0.000453;0.003;0.008;0.000;39.07
2;0.000361;0.004;0.010;0.000;37.54
2;0.000364;0.004;0.008;0.000;44.73
2;0.000446;0.003;0.008;0.000;40.52
2;0.000373;0.003;0.007;0.000;38.93
2;0.000400;0.000;0.008;0.003;42.75
2;0.000357;0.003;0.008;0.000;43.45
2;0.000397;0.004;0.009;0.000;42.39
2;0.000389;0.000;0.010;0.004;40.60
2;0.000526;0.003;0.010;0.002;49.83
2;0.000404;0.000;0.008;0.003;42.86
2;0.000462;0.004;0.010;0.000;42.06
2;0.000426;0.003;0.009;0.000;40.91
2;0.000371;0.004;0.009;0.000;40.40
2;0.000417;0.003;0.008;0.000;42.06
2;0.000375;0.003;0.008;0.000;44.17
2;0.000371;0.003;0.007;0.000;43.45
2;0.000369;0.003;0.009;0.000;32.93
2;0.000362;0.003;0.008;0.000;44.32
2;0.000364;0.004;0.009;0.000;43.56
2;0.000372;0.004;0.008;0.000;46.54
2;0.000361;0.004;0.009;0.000;42.60
2;0.000357;0.003;0.007;0.000;43.70
2;0.000381;0.004;0.010;0.000;42.01
2;0.000365;0.004;0.008;0.000;43.29
2;0.000394;0.004;0.008;0.000;46.41
2;0.000365;0.000;0.008;0.003;45.81
2;0.000358;0.004;0.009;0.000;39.56
2;0.000359;0.003;0.008;0.000;42.90
2;0.000372;0.003;0.008;0.000;42.97
2;0.000405;0.003;0.007;0.000;45.82
2;0.000456;0.004;0.009;0.000;41.28
2;0.000594;0.004;0.030;0.000;14.61
2;0.000414;0.004;0.010;0.000;40.00
2;0.000406;0.003;0.008;0.000;41.63
2;0.000414;0.004;0.008;0.000;47.81
2;0.000406;0.003;0.007;0.000;45.40
2;0.000374;0.003;0.008;0.000;34.62
2;0.000386;0.004;0.012;0.000;36.03
2;0.000380;0.005;0.009;0.000;47.99
2;0.000398;0.004;0.009;0.000;46.70
2;0.000397;0.003;0.009;0.000;43.68
2;0.000484;0.003;0.009;0.002;52.25
2;0.000398;0.003;0.008;0.000;40.74
2;0.000467;0.003;0.009;0.000;36.79
2;0.000388;0.004;0.012;0.000;32.59
2;0.000437;0.004;0.008;0.000;45.03
2;0.000487;0.000;0.008;0.003;44.55
2;0.000394;0.004;0.009;0.000;42.28
2;0.000397;0.004;0.008;0.000;44.93
2;0.000497;0.004;0.010;0.000;45.86
2;0.000413;0.000;0.008;0.003;43.15
2;0.000368;0.004;0.009;0.000;39.15
2;0.000377;0.000;0.009;0.003;43.32
2;0.000407;0.004;0.008;0.000;43.62
2;0.000375;0.000;0.008;0.003;43.03
2;0.000466;0.005;0.011;0.000;45.15
2;0.000740;0.004;0.009;0.000;41.31
2;0.000381;0.000;0.009;0.004;42.91
2;0.000474;0.000;0.008;0.003;47.53
2;0.000360;0.004;0.009;0.000;40.82
2;0.000365;0.000;0.008;0.003;44.89
2;0.000394;0.004;0.009;0.000;41.34
2;0.000364;0.003;0.007;0.000;43.85
2;0.000402;0.000;0.010;0.004;45.21
2;0.000359;0.003;0.008;0.000;41.58
2;0.000421;0.004;0.009;0.000;43.63
2;0.000397;0.005;0.010;0.000;46.33
2;0.000392;0.004;0.009;0.000;41.24
2;0.000356;0.003;0.008;0.000;41.95
2;0.000421;0.004;0.009;0.000;43.69
2;0.000364;0.003;0.007;0.000;46.97
2;0.000401;0.004;0.010;0.000;43.74
2;0.000353;0.003;0.008;0.000;41.27
2;0.000413;0.004;0.009;0.000;44.48
2;0.000382;0.005;0.012;0.000;40.29
2;0.000410;0.005;0.011;0.000;43.17
2;0.000362;0.003;0.008;0.000;43.77
2;0.000442;0.004;0.010;0.000;42.53
2;0.000372;0.004;0.008;0.000;42.30
2;0.000467;0.004;0.009;0.000;45.31
2;0.000351;0.004;0.008;0.000;42.62
2;0.000386;0.005;0.011;0.000;40.66
2;0.000360;0.003;0.008;0.000;44.87
2;0.000375;0.004;0.009;0.000;44.16
2;0.000413;0.003;0.007;0.000;41.82
2;0.000438;0.004;0.009;0.000;46.75
2;0.000358;0.004;0.008;0.000;45.49
2;0.000361;0.003;0.008;0.000;41.82
2;0.000417;0.005;0.012;0.000;42.26
2;0.000361;0.003;0.008;0.000;43.10
2;0.000375;0.003;0.008;0.000;43.59
