nThread;timeInt;user;real;sys;pCPU
4;0.000466;0.004;0.011;0.000;38.44
4;0.001002;0.005;0.010;0.000;44.15
4;0.000537;0.004;0.010;0.000;41.24
4;0.000519;0.000;0.011;0.005;43.47
4;0.000453;0.004;0.009;0.000;41.75
4;0.000527;0.000;0.010;0.004;39.26
4;0.000561;0.005;0.008;0.000;59.97
4;0.000474;0.004;0.009;0.000;43.07
4;0.000493;0.000;0.010;0.004;42.93
4;0.000416;0.004;0.009;0.000;42.86
4;0.000463;0.004;0.010;0.000;40.21
4;0.000511;0.003;0.008;0.000;41.32
4;0.000482;0.004;0.009;0.000;40.76
4;0.000600;0.004;0.008;0.000;43.23
4;0.000490;0.003;0.008;0.000;41.50
4;0.000571;0.004;0.009;0.000;40.24
4;0.000453;0.003;0.007;0.000;45.89
4;0.000573;0.000;0.009;0.004;45.02
4;0.000471;0.004;0.009;0.000;40.44
4;0.000450;0.004;0.008;0.000;43.66
4;0.000508;0.003;0.007;0.000;40.26
4;0.000552;0.000;0.008;0.003;43.63
4;0.000451;0.004;0.009;0.000;42.42
4;0.000453;0.003;0.007;0.000;39.95
4;0.000506;0.003;0.008;0.000;45.03
4;0.000596;0.004;0.009;0.000;46.39
4;0.000505;0.004;0.009;0.000;41.56
4;0.000460;0.000;0.008;0.003;43.99
4;0.000460;0.004;0.008;0.000;46.17
4;0.000516;0.000;0.008;0.003;45.41
4;0.000426;0.004;0.009;0.000;44.34
4;0.000461;0.000;0.008;0.003;42.61
4;0.000470;0.004;0.009;0.000;47.91
4;0.000444;0.003;0.009;0.000;44.01
4;0.000457;0.000;0.007;0.003;44.04
4;0.000461;0.004;0.008;0.000;45.96
4;0.000482;0.004;0.008;0.000;46.65
4;0.000564;0.004;0.009;0.000;43.85
4;0.000429;0.000;0.008;0.003;40.70
4;0.000464;0.004;0.008;0.000;44.83
4;0.000507;0.003;0.008;0.000;39.70
4;0.000533;0.005;0.012;0.000;43.69
4;0.000567;0.004;0.008;0.000;47.31
4;0.000549;0.005;0.010;0.000;47.10
4;0.000483;0.003;0.008;0.000;41.31
4;0.000533;0.000;0.008;0.004;46.06
4;0.000596;0.000;0.008;0.003;45.64
4;0.000458;0.004;0.010;0.000;43.10
4;0.000576;0.003;0.008;0.000;39.39
4;0.000468;0.004;0.010;0.000;40.16
4;0.000530;0.004;0.008;0.000;48.51
4;0.000445;0.003;0.008;0.000;44.92
4;0.000493;0.004;0.009;0.000;44.55
4;0.000412;0.003;0.008;0.000;41.22
4;0.000525;0.004;0.009;0.000;42.01
4;0.000495;0.004;0.009;0.000;45.48
4;0.000537;0.004;0.009;0.000;42.85
4;0.000508;0.003;0.008;0.000;39.37
4;0.000508;0.004;0.008;0.000;44.38
4;0.000725;0.005;0.012;0.000;40.36
4;0.000512;0.004;0.010;0.000;42.58
4;0.000459;0.001;0.010;0.004;42.63
4;0.000486;0.000;0.010;0.006;63.36
4;0.000477;0.000;0.009;0.003;42.01
4;0.000629;0.004;0.009;0.000;41.65
4;0.000446;0.004;0.008;0.000;47.37
4;0.000579;0.000;0.010;0.004;46.42
4;0.000468;0.004;0.008;0.000;48.14
4;0.000675;0.000;0.010;0.004;45.73
4;0.000418;0.004;0.009;0.000;41.00
4;0.000551;0.000;0.010;0.005;48.24
4;0.001051;0.004;0.011;0.000;42.18
4;0.000469;0.005;0.009;0.000;50.92
4;0.000433;0.004;0.008;0.000;46.99
4;0.000474;0.004;0.010;0.000;41.88
4;0.000427;0.004;0.009;0.000;44.34
4;0.000481;0.003;0.009;0.000;38.18
4;0.000509;0.003;0.008;0.000;38.53
4;0.000562;0.000;0.009;0.004;45.44
4;0.000471;0.003;0.008;0.000;35.00
4;0.000481;0.000;0.010;0.004;46.08
4;0.000463;0.000;0.008;0.003;41.69
4;0.000538;0.001;0.010;0.004;41.91
4;0.000446;0.004;0.008;0.000;49.43
4;0.000886;0.004;0.010;0.000;42.17
4;0.000498;0.004;0.009;0.000;45.53
4;0.000452;0.000;0.012;0.004;41.34
4;0.000683;0.003;0.009;0.000;37.22
4;0.000498;0.004;0.008;0.000;43.94
4;0.000498;0.000;0.008;0.003;46.24
4;0.000532;0.004;0.012;0.001;42.56
4;0.000507;0.004;0.009;0.000;47.73
4;0.000601;0.000;0.010;0.004;44.64
4;0.000542;0.004;0.009;0.000;43.79
4;0.000482;0.004;0.008;0.000;43.12
4;0.000443;0.003;0.008;0.000;45.10
4;0.000612;0.005;0.012;0.000;40.26
4;0.000544;0.004;0.009;0.000;42.86
4;0.000509;0.004;0.009;0.000;45.00
4;0.000524;0.004;0.008;0.000;42.28
4;0.000468;0.004;0.008;0.000;47.41
4;0.000490;0.003;0.008;0.000;45.14
4;0.000651;0.002;0.010;0.002;44.07
4;0.000446;0.000;0.008;0.003;46.97
4;0.000441;0.003;0.008;0.000;37.52
4;0.000470;0.003;0.008;0.000;40.62
4;0.000459;0.004;0.011;0.000;37.77
4;0.000561;0.004;0.010;0.000;40.57
4;0.000782;0.004;0.010;0.000;42.08
4;0.000495;0.004;0.009;0.000;44.90
4;0.000480;0.004;0.009;0.000;46.34
4;0.000536;0.004;0.009;0.000;46.68
4;0.000462;0.004;0.008;0.000;46.18
4;0.000527;0.003;0.008;0.000;43.29
4;0.000495;0.000;0.010;0.004;44.40
4;0.000526;0.004;0.009;0.000;42.90
4;0.000500;0.004;0.009;0.000;42.82
4;0.000470;0.004;0.009;0.000;45.86
4;0.000512;0.004;0.008;0.000;44.16
4;0.000537;0.004;0.009;0.000;42.35
4;0.000464;0.004;0.009;0.000;44.87
4;0.000428;0.004;0.009;0.000;41.56
4;0.000532;0.004;0.008;0.000;45.57
4;0.000443;0.003;0.008;0.000;43.43
4;0.000437;0.003;0.008;0.000;42.90
4;0.000527;0.004;0.010;0.000;42.51
4;0.000438;0.003;0.008;0.000;41.87
4;0.000508;0.004;0.009;0.000;47.19
4;0.000467;0.003;0.008;0.000;43.30
4;0.000518;0.004;0.010;0.000;42.73
4;0.000471;0.004;0.009;0.001;56.40
4;0.000522;0.004;0.010;0.000;40.90
4;0.000526;0.004;0.008;0.000;46.87
4;0.000458;0.004;0.009;0.000;44.04
4;0.000429;0.004;0.008;0.000;43.58
4;0.000470;0.004;0.010;0.000;42.56
4;0.000469;0.004;0.009;0.000;42.61
4;0.000509;0.000;0.010;0.004;42.57
4;0.000489;0.003;0.008;0.000;44.25
4;0.000556;0.000;0.009;0.005;64.18
4;0.000531;0.004;0.009;0.000;44.19
4;0.000620;0.004;0.010;0.000;43.31
4;0.000500;0.004;0.011;0.000;39.53
4;0.000479;0.004;0.010;0.000;39.06
4;0.000545;0.004;0.008;0.000;47.83
4;0.000490;0.004;0.010;0.000;42.69
4;0.000585;0.004;0.008;0.000;45.71
4;0.000513;0.000;0.009;0.004;43.00
4;0.000546;0.000;0.009;0.003;44.27
4;0.000474;0.000;0.008;0.003;41.34
4;0.000409;0.004;0.009;0.000;43.01
4;0.000710;0.005;0.011;0.000;45.05
4;0.000473;0.004;0.010;0.000;40.15
4;0.000428;0.004;0.009;0.000;42.01
4;0.001170;0.002;0.008;0.002;51.23
4;0.000504;0.004;0.008;0.000;45.96
4;0.000492;0.003;0.008;0.000;43.72
4;0.000508;0.004;0.010;0.000;42.91
4;0.000464;0.003;0.008;0.000;42.86
4;0.000462;0.000;0.009;0.004;45.67
4;0.000487;0.003;0.007;0.000;37.87
4;0.000550;0.004;0.009;0.000;39.38
4;0.000569;0.004;0.008;0.000;46.16
4;0.000466;0.004;0.010;0.000;42.11
4;0.000526;0.000;0.009;0.004;46.28
4;0.000488;0.004;0.008;0.000;45.62
4;0.000479;0.004;0.008;0.000;42.75
4;0.000414;0.004;0.010;0.000;40.37
4;0.000466;0.004;0.008;0.000;45.99
4;0.000519;0.004;0.009;0.000;40.94
4;0.000465;0.004;0.009;0.000;50.66
4;0.000527;0.004;0.008;0.000;45.92
4;0.000450;0.004;0.010;0.000;39.50
4;0.000545;0.004;0.009;0.000;43.17
4;0.000510;0.004;0.009;0.000;43.64
4;0.000585;0.002;0.008;0.002;47.85
4;0.000574;0.005;0.010;0.000;45.29
4;0.000433;0.004;0.008;0.000;44.27
4;0.000567;0.000;0.009;0.004;46.83
4;0.000435;0.004;0.008;0.000;44.65
4;0.001288;0.005;0.011;0.000;46.36
4;0.000438;0.003;0.008;0.000;42.63
4;0.000573;0.004;0.009;0.000;43.78
4;0.000590;0.003;0.007;0.000;43.86
4;0.000524;0.004;0.010;0.000;43.23
4;0.000476;0.003;0.007;0.000;43.31
4;0.000619;0.004;0.009;0.000;43.31
4;0.000653;0.005;0.010;0.000;46.34
4;0.000775;0.005;0.011;0.000;44.34
4;0.000523;0.004;0.009;0.000;46.31
4;0.000521;0.000;0.009;0.004;47.49
4;0.000521;0.004;0.009;0.000;40.53
4;0.000659;0.004;0.012;0.000;37.72
4;0.000538;0.005;0.013;0.000;40.58
4;0.000522;0.003;0.008;0.000;42.91
4;0.000547;0.004;0.009;0.000;42.64
4;0.000506;0.000;0.009;0.003;43.13
4;0.000496;0.000;0.009;0.004;47.33
4;0.000495;0.003;0.007;0.000;46.56
4;0.000563;0.004;0.010;0.000;40.36
