nThread;timeInt;user;real;sys;pCPU
8;0.018377;0.098;0.041;0.037;328.05
8;0.006639;0.053;0.027;0.000;192.17
8;0.010629;0.059;0.031;0.017;248.64
8;0.006778;0.055;0.026;0.000;206.09
8;0.004645;0.020;0.025;0.020;161.45
8;0.004954;0.042;0.027;0.000;155.53
8;0.006435;0.052;0.029;0.001;179.91
8;0.004698;0.027;0.026;0.013;156.28
8;0.004653;0.040;0.025;0.000;159.81
8;0.009226;0.070;0.029;0.000;242.08
8;0.005103;0.030;0.026;0.012;165.72
8;0.006833;0.053;0.028;0.000;187.32
8;0.005396;0.044;0.026;0.000;169.35
8;0.004802;0.041;0.026;0.000;161.09
8;0.004783;0.042;0.025;0.000;164.47
8;0.004577;0.040;0.024;0.000;163.72
8;0.006536;0.054;0.028;0.000;191.16
8;0.006481;0.027;0.026;0.026;201.11
8;0.006695;0.008;0.026;0.046;206.76
8;0.007368;0.057;0.027;0.000;212.90
8;0.015422;0.108;0.037;0.012;327.83
8;0.004968;0.042;0.025;0.000;167.71
8;0.006775;0.054;0.028;0.000;195.97
8;0.006135;0.045;0.028;0.006;183.47
8;0.006675;0.054;0.027;0.000;196.10
8;0.005207;0.021;0.026;0.021;162.47
8;0.005520;0.047;0.028;0.000;168.02
8;0.005001;0.028;0.026;0.014;162.36
8;0.006055;0.029;0.026;0.014;168.79
8;0.005140;0.045;0.026;0.000;170.70
8;0.004728;0.036;0.025;0.004;165.91
8;0.004709;0.041;0.026;0.000;159.00
8;0.004852;0.041;0.026;0.000;157.41
8;0.005607;0.043;0.027;0.000;155.40
8;0.005454;0.040;0.026;0.005;173.29
8;0.005122;0.038;0.026;0.005;162.66
8;0.008851;0.041;0.030;0.020;203.86
8;0.004879;0.021;0.026;0.021;162.99
8;0.006878;0.018;0.027;0.036;202.10
8;0.005212;0.044;0.027;0.000;162.23
8;0.005165;0.042;0.026;0.000;159.47
8;0.005555;0.039;0.027;0.004;159.46
8;0.019528;0.147;0.041;0.000;353.99
8;0.005756;0.028;0.025;0.014;168.66
8;0.006653;0.036;0.028;0.012;172.45
8;0.005021;0.042;0.026;0.000;164.27
8;0.016782;0.130;0.038;0.000;338.33
8;0.005101;0.043;0.026;0.000;164.71
8;0.004875;0.043;0.027;0.000;161.12
8;0.004915;0.044;0.028;0.000;158.64
8;0.004759;0.041;0.026;0.001;160.69
8;0.004665;0.042;0.026;0.000;159.68
8;0.006006;0.022;0.028;0.022;160.17
8;0.007078;0.050;0.028;0.006;196.74
8;0.006746;0.024;0.028;0.024;169.34
8;0.005079;0.006;0.025;0.038;174.39
8;0.006683;0.048;0.029;0.006;184.89
8;0.004716;0.021;0.027;0.021;155.45
8;0.007706;0.061;0.029;0.000;210.39
8;0.005620;0.021;0.027;0.021;159.38
8;0.004954;0.021;0.031;0.021;137.63
8;0.013401;0.094;0.035;0.007;285.39
8;0.018323;0.134;0.040;0.013;369.67
8;0.017888;0.142;0.037;0.000;379.72
8;0.019661;0.149;0.039;0.011;411.99
8;0.006856;0.028;0.026;0.027;209.08
8;0.005242;0.043;0.026;0.000;164.15
8;0.007007;0.049;0.027;0.007;202.50
8;0.007876;0.059;0.029;0.000;202.72
8;0.006445;0.036;0.027;0.018;195.91
8;0.005353;0.011;0.024;0.032;178.21
8;0.005409;0.040;0.027;0.005;166.02
8;0.004721;0.021;0.027;0.021;154.83
8;0.006603;0.054;0.028;0.000;193.52
8;0.006447;0.035;0.026;0.017;205.68
8;0.004915;0.042;0.025;0.000;168.49
8;0.005538;0.022;0.028;0.022;155.91
8;0.006875;0.057;0.028;0.000;198.52
8;0.006911;0.028;0.028;0.028;201.08
8;0.009868;0.073;0.029;0.000;251.34
8;0.007008;0.041;0.027;0.014;207.44
8;0.007010;0.028;0.028;0.027;198.55
8;0.006332;0.052;0.027;0.000;190.46
8;0.005093;0.044;0.026;0.000;166.23
8;0.009129;0.035;0.032;0.034;219.00
8;0.006908;0.057;0.029;0.000;192.57
8;0.004993;0.022;0.025;0.021;171.35
8;0.005133;0.022;0.029;0.021;149.13
8;0.006813;0.055;0.027;0.000;201.85
8;0.006779;0.049;0.026;0.006;207.04
8;0.007930;0.060;0.029;0.000;204.42
8;0.005016;0.043;0.026;0.000;167.58
8;0.005777;0.044;0.026;0.000;169.38
8;0.004967;0.043;0.026;0.000;165.01
8;0.004863;0.000;0.026;0.043;162.90
8;0.005251;0.044;0.026;0.000;171.18
8;0.007804;0.058;0.029;0.000;196.74
8;0.005669;0.047;0.026;0.000;179.14
8;0.006254;0.043;0.028;0.000;154.62
8;0.016244;0.128;0.039;0.000;326.94
8;0.017813;0.135;0.042;0.008;342.43
8;0.026823;0.186;0.049;0.000;377.76
8;0.007134;0.051;0.027;0.006;212.89
8;0.006999;0.058;0.028;0.000;204.89
8;0.008509;0.059;0.029;0.000;201.59
8;0.006790;0.049;0.027;0.006;202.34
8;0.007164;0.057;0.027;0.000;214.81
8;0.005187;0.044;0.025;0.000;171.80
8;0.014168;0.087;0.038;0.020;283.23
8;0.005682;0.036;0.026;0.010;179.00
8;0.005946;0.024;0.026;0.024;185.45
8;0.007255;0.054;0.027;0.000;196.93
8;0.005069;0.043;0.025;0.000;171.34
8;0.006805;0.043;0.027;0.011;197.73
8;0.004919;0.031;0.026;0.011;162.72
8;0.004946;0.043;0.028;0.000;155.89
8;0.005300;0.044;0.026;0.000;166.96
8;0.006782;0.053;0.028;0.000;191.72
8;0.006975;0.048;0.027;0.006;201.94
8;0.008415;0.063;0.029;0.000;223.73
8;0.007504;0.023;0.028;0.023;163.56
8;0.004809;0.042;0.025;0.000;164.96
8;0.004911;0.043;0.026;0.000;166.02
8;0.004979;0.039;0.026;0.004;162.43
8;0.007546;0.051;0.028;0.010;215.60
8;0.009061;0.062;0.031;0.009;223.77
8;0.006689;0.026;0.028;0.026;189.28
8;0.006892;0.047;0.029;0.008;190.44
8;0.005313;0.044;0.026;0.000;168.05
8;0.006043;0.033;0.027;0.016;181.71
8;0.007426;0.050;0.028;0.006;196.47
8;0.005199;0.021;0.029;0.021;147.74
8;0.004819;0.021;0.025;0.020;162.88
8;0.006319;0.053;0.029;0.000;180.50
8;0.006930;0.057;0.030;0.000;191.95
8;0.006662;0.055;0.027;0.000;200.85
8;0.006920;0.033;0.029;0.016;168.36
8;0.005772;0.044;0.027;0.000;162.82
