nThread;timeInt;user;real;sys;pCPU
4;0.000351;0.000;0.009;0.003;37.34
4;0.000377;0.004;0.009;0.000;42.43
4;0.000358;0.004;0.011;0.000;37.39
4;0.000384;0.003;0.008;0.000;36.22
4;0.000426;0.004;0.010;0.000;41.95
4;0.000346;0.004;0.008;0.000;43.19
4;0.000380;0.004;0.009;0.000;42.31
4;0.000364;0.004;0.009;0.000;40.09
4;0.000711;0.004;0.013;0.001;38.53
4;0.000419;0.004;0.010;0.000;42.74
4;0.000370;0.000;0.009;0.003;41.10
4;0.000394;0.005;0.013;0.000;38.99
4;0.000432;0.004;0.010;0.000;40.84
4;0.000467;0.004;0.011;0.000;41.84
4;0.000472;0.000;0.010;0.005;44.63
4;0.000377;0.004;0.009;0.000;44.78
4;0.000591;0.005;0.011;0.000;42.39
4;0.000455;0.000;0.010;0.004;42.60
4;0.000493;0.000;0.014;0.005;39.51
4;0.000404;0.004;0.010;0.000;42.43
4;0.000418;0.004;0.011;0.000;41.18
4;0.000477;0.005;0.012;0.000;40.85
4;0.000450;0.005;0.010;0.000;51.39
4;0.000453;0.005;0.012;0.000;39.77
4;0.000440;0.004;0.010;0.001;55.29
4;0.000401;0.003;0.008;0.000;36.72
4;0.000455;0.005;0.012;0.000;42.53
4;0.000405;0.002;0.011;0.002;39.93
4;0.000432;0.000;0.009;0.004;43.72
4;0.000446;0.004;0.010;0.000;41.51
4;0.000447;0.005;0.011;0.000;41.22
4;0.000485;0.004;0.010;0.000;43.89
4;0.000541;0.004;0.011;0.000;34.85
4;0.000454;0.004;0.010;0.000;39.89
4;0.000499;0.005;0.013;0.000;39.27
4;0.000514;0.005;0.012;0.000;43.23
4;0.000490;0.002;0.012;0.003;45.89
4;0.000554;0.004;0.010;0.000;44.22
4;0.000477;0.004;0.010;0.000;41.22
4;0.000396;0.004;0.011;0.000;39.29
4;0.000437;0.004;0.010;0.000;41.31
4;0.000471;0.005;0.010;0.000;43.78
4;0.000377;0.005;0.012;0.000;38.35
4;0.000396;0.004;0.012;0.000;34.82
4;0.000478;0.003;0.010;0.001;47.86
4;0.000565;0.005;0.011;0.000;43.37
4;0.000474;0.001;0.014;0.005;39.27
4;0.000449;0.004;0.010;0.000;40.50
4;0.000434;0.003;0.009;0.000;39.10
4;0.000513;0.004;0.011;0.000;37.85
4;0.000379;0.000;0.009;0.004;45.95
4;0.000376;0.005;0.012;0.000;38.63
4;0.000385;0.000;0.011;0.005;43.66
4;0.000504;0.003;0.010;0.001;49.82
4;0.000466;0.000;0.010;0.004;46.18
4;0.000464;0.000;0.010;0.004;44.16
4;0.001064;0.006;0.013;0.000;46.50
4;0.000378;0.000;0.009;0.004;42.97
4;0.001026;0.006;0.013;0.000;46.40
4;0.000550;0.005;0.011;0.000;42.93
4;0.000445;0.000;0.009;0.003;40.54
4;0.000459;0.005;0.012;0.000;41.32
4;0.000423;0.005;0.012;0.000;38.91
4;0.000471;0.001;0.011;0.004;43.52
4;0.000309;0.005;0.012;0.000;42.33
4;0.000595;0.005;0.011;0.000;45.02
4;0.000396;0.004;0.011;0.000;35.83
4;0.000519;0.000;0.014;0.005;38.32
4;0.000437;0.004;0.011;0.000;38.20
4;0.000433;0.004;0.010;0.000;43.85
4;0.000689;0.001;0.012;0.005;48.31
4;0.000377;0.001;0.009;0.004;42.77
4;0.000393;0.004;0.009;0.000;42.05
4;0.000380;0.000;0.012;0.004;39.41
4;0.000436;0.004;0.010;0.000;42.89
4;0.000504;0.001;0.012;0.005;45.86
4;0.000639;0.000;0.011;0.004;40.43
4;0.000399;0.003;0.009;0.000;32.98
4;0.000572;0.006;0.013;0.000;44.03
4;0.000409;0.005;0.011;0.000;43.35
4;0.000440;0.004;0.009;0.000;45.48
4;0.000486;0.000;0.011;0.004;44.18
4;0.000424;0.004;0.009;0.000;44.75
4;0.000468;0.005;0.011;0.000;44.22
4;0.000456;0.005;0.011;0.000;42.68
4;0.000400;0.004;0.010;0.000;43.58
4;0.000594;0.000;0.012;0.004;39.63
4;0.000423;0.004;0.009;0.000;39.15
4;0.000413;0.004;0.011;0.000;38.85
4;0.000412;0.004;0.009;0.000;43.59
4;0.000514;0.003;0.009;0.001;50.68
4;0.000390;0.004;0.010;0.001;46.94
4;0.000440;0.004;0.010;0.000;41.31
4;0.000353;0.004;0.009;0.000;42.95
4;0.000414;0.005;0.010;0.000;45.69
4;0.000422;0.004;0.010;0.000;43.83
4;0.000521;0.004;0.010;0.000;43.75
4;0.000429;0.004;0.010;0.000;43.71
4;0.000392;0.004;0.012;0.000;31.54
4;0.000459;0.005;0.010;0.000;45.21
4;0.000476;0.001;0.012;0.005;44.45
4;0.000383;0.004;0.010;0.000;44.14
4;0.000575;0.001;0.011;0.005;49.32
4;0.000379;0.004;0.009;0.000;45.23
4;0.000393;0.005;0.013;0.000;39.86
4;0.000469;0.000;0.014;0.005;39.24
4;0.000493;0.005;0.013;0.000;40.55
4;0.000440;0.005;0.010;0.000;45.04
4;0.000400;0.000;0.012;0.005;38.96
4;0.000432;0.005;0.011;0.000;45.30
4;0.000380;0.005;0.011;0.000;40.39
4;0.000449;0.001;0.009;0.004;44.45
4;0.000399;0.004;0.010;0.000;42.27
4;0.001032;0.006;0.013;0.000;46.42
4;0.000494;0.005;0.011;0.000;45.17
4;0.000700;0.000;0.011;0.004;41.89
4;0.000426;0.000;0.010;0.004;40.35
4;0.000428;0.004;0.009;0.000;41.49
4;0.000524;0.005;0.012;0.000;38.46
4;0.000474;0.000;0.010;0.004;42.50
4;0.000378;0.004;0.009;0.000;40.98
