nThread;timeInt;user;real;sys;pCPU
2;0.000877;0.005;0.011;0.000;45.39
2;0.000942;0.005;0.011;0.000;44.95
2;0.000918;0.004;0.009;0.000;49.22
2;0.000887;0.004;0.009;0.000;42.51
2;0.001034;0.005;0.011;0.000;42.40
2;0.000881;0.004;0.008;0.000;46.40
2;0.000859;0.004;0.009;0.000;43.56
2;0.000846;0.004;0.008;0.000;47.21
2;0.000866;0.000;0.010;0.004;42.50
2;0.000868;0.004;0.008;0.000;47.37
2;0.000874;0.004;0.009;0.000;45.09
2;0.000862;0.004;0.009;0.000;44.34
2;0.001291;0.005;0.010;0.000;45.78
2;0.000924;0.004;0.009;0.000;45.55
2;0.000865;0.000;0.008;0.004;46.84
2;0.000845;0.004;0.009;0.000;42.60
2;0.000971;0.005;0.009;0.000;50.46
2;0.000856;0.004;0.009;0.000;44.00
2;0.000881;0.004;0.010;0.000;43.47
2;0.000863;0.004;0.008;0.000;47.37
2;0.000872;0.004;0.009;0.000;42.59
2;0.000869;0.004;0.009;0.000;42.51
2;0.000888;0.004;0.009;0.000;48.36
2;0.001271;0.000;0.010;0.005;50.63
2;0.000939;0.006;0.011;0.000;53.25
2;0.000960;0.004;0.009;0.000;43.41
2;0.001067;0.006;0.013;0.001;47.96
2;0.000927;0.004;0.010;0.000;45.41
2;0.000915;0.005;0.009;0.000;50.48
2;0.000904;0.004;0.010;0.000;42.79
2;0.000924;0.004;0.011;0.000;36.30
2;0.000926;0.000;0.009;0.003;39.88
2;0.000934;0.003;0.009;0.000;34.65
2;0.000954;0.005;0.011;0.000;49.42
2;0.000877;0.005;0.010;0.000;43.19
2;0.000914;0.005;0.012;0.000;45.64
2;0.000925;0.005;0.010;0.000;49.81
2;0.000894;0.005;0.009;0.000;49.47
2;0.000928;0.000;0.009;0.004;48.57
2;0.000904;0.005;0.010;0.000;43.84
2;0.000927;0.004;0.009;0.000;45.50
2;0.000933;0.005;0.011;0.000;43.84
2;0.000935;0.005;0.010;0.000;47.29
2;0.000900;0.004;0.010;0.000;42.50
2;0.000870;0.004;0.008;0.000;47.24
2;0.000886;0.004;0.011;0.000;41.42
2;0.001004;0.000;0.011;0.005;51.14
2;0.000963;0.005;0.012;0.000;42.14
2;0.000873;0.000;0.009;0.004;44.50
2;0.000905;0.004;0.009;0.000;43.23
2;0.000930;0.004;0.009;0.000;45.76
2;0.000881;0.000;0.010;0.004;47.39
2;0.000870;0.004;0.008;0.000;46.59
2;0.001006;0.005;0.010;0.000;48.90
2;0.000961;0.004;0.009;0.000;47.79
2;0.000875;0.004;0.010;0.000;41.49
2;0.000925;0.004;0.008;0.000;50.34
2;0.000864;0.004;0.008;0.000;47.47
2;0.000859;0.004;0.009;0.000;43.70
2;0.000879;0.004;0.010;0.000;42.42
2;0.000889;0.004;0.009;0.000;46.42
2;0.000896;0.004;0.008;0.000;48.39
2;0.000938;0.004;0.009;0.000;48.41
2;0.000872;0.004;0.010;0.000;38.52
2;0.000896;0.004;0.009;0.000;46.88
2;0.001116;0.006;0.010;0.000;53.88
2;0.000866;0.004;0.009;0.000;43.78
2;0.000996;0.000;0.009;0.004;46.34
2;0.000862;0.000;0.009;0.004;45.34
2;0.000924;0.005;0.010;0.000;53.24
2;0.001092;0.006;0.010;0.000;54.04
2;0.000937;0.005;0.010;0.000;48.24
2;0.000878;0.005;0.011;0.000;42.53
2;0.000859;0.004;0.008;0.001;50.62
2;0.000938;0.005;0.010;0.000;48.57
2;0.000936;0.004;0.010;0.000;40.99
2;0.000878;0.003;0.008;0.000;40.76
2;0.000881;0.004;0.008;0.000;44.44
2;0.000956;0.005;0.009;0.000;50.28
2;0.000868;0.004;0.009;0.000;46.29
2;0.001035;0.005;0.010;0.000;46.88
2;0.000869;0.004;0.009;0.000;44.44
2;0.000890;0.004;0.010;0.000;42.87
2;0.000873;0.000;0.008;0.004;48.90
2;0.000921;0.004;0.011;0.000;41.36
2;0.000875;0.004;0.008;0.000;47.35
2;0.000963;0.005;0.012;0.000;41.63
2;0.000861;0.004;0.009;0.000;48.02
2;0.000909;0.000;0.009;0.004;49.56
2;0.000887;0.000;0.010;0.003;39.37
2;0.000864;0.005;0.010;0.000;43.51
2;0.000927;0.004;0.009;0.000;44.16
2;0.000889;0.000;0.011;0.004;44.04
2;0.000891;0.004;0.009;0.000;46.70
2;0.000871;0.004;0.009;0.000;42.34
2;0.000883;0.004;0.009;0.000;45.59
2;0.000858;0.004;0.008;0.000;48.28
2;0.000925;0.000;0.009;0.004;48.03
2;0.000945;0.005;0.009;0.000;54.73
2;0.000933;0.002;0.008;0.002;48.77
2;0.000878;0.005;0.011;0.000;42.75
2;0.000925;0.004;0.009;0.000;44.93
2;0.000866;0.004;0.008;0.000;45.05
2;0.000941;0.005;0.009;0.000;53.52
2;0.000870;0.004;0.008;0.000;46.45
2;0.000993;0.001;0.010;0.004;47.62
2;0.000873;0.000;0.008;0.003;46.35
2;0.000855;0.004;0.009;0.000;47.52
2;0.000857;0.004;0.008;0.000;49.06
2;0.000891;0.004;0.010;0.000;44.96
2;0.000857;0.004;0.008;0.000;48.48
2;0.000976;0.005;0.009;0.000;50.48
2;0.000885;0.004;0.008;0.000;47.01
2;0.000968;0.005;0.009;0.000;48.72
2;0.000866;0.004;0.010;0.000;44.23
2;0.000847;0.004;0.009;0.000;50.22
2;0.000858;0.004;0.008;0.000;46.98
2;0.000916;0.004;0.009;0.000;47.60
2;0.000885;0.005;0.012;0.000;39.26
2;0.000905;0.004;0.008;0.000;49.70
2;0.000867;0.004;0.008;0.000;47.84
2;0.000972;0.004;0.009;0.000;43.17
2;0.000858;0.004;0.008;0.000;47.43
2;0.000921;0.004;0.009;0.000;46.27
2;0.000942;0.003;0.008;0.000;41.73
2;0.000878;0.004;0.009;0.000;45.94
2;0.000859;0.000;0.010;0.004;44.53
2;0.001049;0.005;0.009;0.000;56.67
2;0.001440;0.000;0.010;0.005;50.32
2;0.000977;0.001;0.011;0.005;48.61
2;0.000875;0.004;0.008;0.000;47.32
2;0.000872;0.004;0.009;0.000;42.38
2;0.000864;0.004;0.008;0.000;46.67
2;0.000935;0.005;0.009;0.000;48.34
2;0.000859;0.004;0.008;0.000;45.31
2;0.000867;0.000;0.011;0.005;48.61
2;0.000904;0.004;0.009;0.000;49.21
2;0.000986;0.004;0.009;0.000;47.92
2;0.000900;0.004;0.009;0.000;47.58
2;0.000910;0.005;0.010;0.000;50.65
2;0.000895;0.004;0.009;0.000;45.76
2;0.000886;0.000;0.009;0.004;49.87
2;0.000848;0.000;0.009;0.003;40.62
2;0.000878;0.004;0.009;0.000;45.88
2;0.000855;0.004;0.009;0.000;44.20
2;0.000908;0.004;0.008;0.000;48.38
2;0.000865;0.004;0.010;0.000;44.79
2;0.000918;0.000;0.008;0.004;49.05
2;0.000882;0.004;0.008;0.000;45.77
2;0.000892;0.004;0.009;0.000;47.63
2;0.000868;0.000;0.010;0.004;46.52
2;0.000892;0.004;0.009;0.000;47.57
2;0.000867;0.004;0.008;0.000;47.71
2;0.000910;0.004;0.009;0.000;49.48
2;0.000889;0.005;0.010;0.000;46.02
2;0.000891;0.004;0.009;0.000;47.79
2;0.000962;0.005;0.008;0.000;61.58
2;0.000882;0.004;0.009;0.000;47.85
2;0.001007;0.005;0.010;0.000;47.86
2;0.000880;0.004;0.009;0.000;47.11
2;0.000873;0.004;0.010;0.000;39.97
2;0.000910;0.004;0.009;0.000;47.90
2;0.000940;0.004;0.009;0.000;46.10
2;0.000913;0.004;0.009;0.000;47.82
2;0.000859;0.004;0.009;0.000;47.64
2;0.000877;0.004;0.009;0.000;47.47
2;0.000856;0.004;0.008;0.000;46.98
2;0.000872;0.004;0.010;0.000;46.79
2;0.000876;0.004;0.008;0.000;46.14
2;0.000865;0.004;0.010;0.000;40.38
2;0.000850;0.004;0.008;0.000;48.16
2;0.001177;0.001;0.010;0.004;49.43
2;0.000883;0.000;0.008;0.003;48.68
2;0.000966;0.004;0.010;0.000;43.90
2;0.000934;0.004;0.007;0.000;56.51
2;0.000956;0.005;0.010;0.000;48.23
2;0.000861;0.004;0.009;0.000;43.05
2;0.000864;0.004;0.008;0.000;44.56
2;0.000863;0.004;0.008;0.000;47.41
2;0.000887;0.004;0.009;0.000;46.04
2;0.000861;0.004;0.008;0.000;45.97
2;0.000915;0.004;0.009;0.000;47.95
2;0.000873;0.004;0.009;0.000;46.55
2;0.000869;0.004;0.009;0.000;45.12
2;0.000896;0.004;0.008;0.000;48.53
2;0.000879;0.004;0.009;0.000;46.06
2;0.000850;0.004;0.008;0.000;47.99
2;0.000910;0.000;0.009;0.004;48.70
2;0.001030;0.004;0.009;0.000;45.29
2;0.001354;0.004;0.009;0.000;45.51
2;0.000909;0.004;0.008;0.000;46.23
2;0.000858;0.004;0.008;0.000;49.84
2;0.000913;0.004;0.010;0.000;45.33
2;0.000938;0.004;0.009;0.000;46.86
2;0.000904;0.005;0.010;0.000;47.75
2;0.000902;0.000;0.009;0.004;47.82
2;0.000865;0.000;0.008;0.004;48.28
2;0.000896;0.004;0.008;0.000;44.28
2;0.000939;0.004;0.009;0.000;41.82
2;0.001022;0.004;0.010;0.000;46.33
