nThread;timeInt;user;real;sys;pCPU
4;0.039099;0.156;0.130;0.000;119.98
4;0.033745;0.142;0.124;0.000;114.49
4;0.036616;0.141;0.126;0.010;120.08
4;0.033218;0.127;0.123;0.013;113.97
4;0.037385;0.143;0.127;0.010;119.96
4;0.036141;0.120;0.122;0.028;120.60
4;0.035918;0.149;0.126;0.000;118.48
4;0.038984;0.114;0.131;0.034;113.80
4;0.041182;0.164;0.132;0.000;124.38
4;0.036958;0.152;0.127;0.000;120.06
4;0.032564;0.130;0.122;0.009;114.43
4;0.036988;0.141;0.127;0.011;119.99
4;0.033952;0.128;0.124;0.013;113.45
4;0.036082;0.137;0.124;0.010;118.92
4;0.036200;0.142;0.128;0.010;119.65
4;0.033513;0.141;0.124;0.000;114.05
4;0.033750;0.140;0.124;0.000;112.86
4;0.036889;0.153;0.128;0.000;119.08
4;0.033028;0.130;0.122;0.010;114.20
4;0.037091;0.154;0.128;0.000;119.89
4;0.035835;0.162;0.156;0.012;111.83
4;0.035893;0.152;0.131;0.000;115.85
4;0.040264;0.141;0.144;0.020;111.62
4;0.037596;0.146;0.130;0.010;119.86
4;0.048082;0.163;0.139;0.000;117.80
4;0.037615;0.135;0.128;0.019;119.84
4;0.036907;0.135;0.127;0.017;119.90
4;0.033546;0.141;0.123;0.000;114.71
4;0.032912;0.131;0.124;0.010;113.63
4;0.037072;0.133;0.127;0.020;120.21
4;0.033762;0.132;0.123;0.010;115.11
4;0.039891;0.146;0.130;0.009;119.70
4;0.033938;0.139;0.122;0.000;114.50
4;0.033311;0.130;0.122;0.010;114.72
4;0.033661;0.142;0.125;0.000;113.51
4;0.037151;0.143;0.128;0.010;119.64
4;0.036622;0.141;0.127;0.011;118.83
4;0.042363;0.158;0.145;0.011;116.77
4;0.037164;0.121;0.126;0.030;120.26
4;0.036965;0.122;0.127;0.030;120.44
4;0.041869;0.149;0.131;0.008;120.01
4;0.036507;0.142;0.126;0.010;120.46
4;0.034276;0.128;0.123;0.013;114.04
4;0.036473;0.134;0.127;0.017;119.29
4;0.033740;0.129;0.124;0.012;113.97
4;0.037213;0.145;0.129;0.009;119.89
4;0.036509;0.141;0.126;0.010;119.67
4;0.038185;0.136;0.131;0.021;119.49
4;0.048587;0.155;0.140;0.010;118.19
4;0.036711;0.151;0.126;0.000;119.63
4;0.037295;0.141;0.129;0.012;118.87
4;0.033359;0.133;0.125;0.009;113.29
4;0.040181;0.121;0.132;0.030;114.14
4;0.034870;0.133;0.125;0.010;115.02
4;0.035070;0.146;0.126;0.000;115.70
4;0.033789;0.119;0.126;0.024;113.48
4;0.036586;0.151;0.126;0.000;120.27
4;0.038110;0.146;0.131;0.010;120.12
4;0.058503;0.178;0.153;0.000;115.73
4;0.037273;0.152;0.128;0.000;119.44
4;0.033385;0.132;0.124;0.009;114.07
4;0.038857;0.154;0.131;0.000;117.89
4;0.044352;0.142;0.137;0.020;118.06
4;0.036754;0.151;0.127;0.000;118.95
4;0.034142;0.133;0.125;0.009;113.58
4;0.033637;0.144;0.127;0.000;113.57
4;0.038344;0.148;0.132;0.009;119.50
4;0.049246;0.153;0.147;0.020;117.63
4;0.036790;0.141;0.127;0.011;118.80
4;0.038367;0.128;0.134;0.032;119.56
4;0.034646;0.120;0.128;0.024;113.21
4;0.036463;0.135;0.129;0.019;119.87
4;0.034408;0.144;0.127;0.000;113.29
4;0.044840;0.151;0.137;0.010;117.89
4;0.033452;0.131;0.123;0.010;114.53
4;0.037864;0.145;0.129;0.010;120.11
4;0.034309;0.146;0.128;0.000;113.91
4;0.038004;0.149;0.132;0.009;119.63
4;0.039354;0.140;0.134;0.020;119.47
4;0.038974;0.152;0.136;0.010;119.17
4;0.037776;0.127;0.131;0.029;119.13
4;0.037258;0.156;0.130;0.000;120.09
4;0.041849;0.142;0.142;0.020;114.07
4;0.033704;0.135;0.128;0.010;113.84
4;0.033160;0.125;0.126;0.019;114.02
4;0.038185;0.147;0.132;0.011;119.38
4;0.035125;0.140;0.133;0.010;113.16
4;0.041392;0.164;0.136;0.000;120.37
4;0.037828;0.157;0.131;0.000;119.67
4;0.038141;0.136;0.131;0.021;120.32
4;0.037612;0.156;0.130;0.000;120.02
4;0.033430;0.126;0.126;0.018;113.91
4;0.034713;0.126;0.127;0.019;114.61
4;0.041470;0.159;0.135;0.009;124.09
4;0.034527;0.148;0.130;0.000;113.51
4;0.034286;0.147;0.129;0.000;113.71
4;0.034857;0.122;0.129;0.024;114.13
4;0.043869;0.152;0.148;0.020;116.47
4;0.037448;0.146;0.131;0.011;120.07
4;0.038379;0.128;0.132;0.029;119.58
4;0.034544;0.132;0.127;0.012;113.58
4;0.037191;0.157;0.131;0.000;119.48
4;0.037450;0.155;0.130;0.000;119.13
4;0.035251;0.135;0.128;0.012;114.22
4;0.037388;0.156;0.131;0.000;119.64
4;0.037230;0.155;0.130;0.000;119.14
4;0.038466;0.147;0.131;0.009;119.69
4;0.034095;0.145;0.128;0.000;113.52
4;0.039750;0.158;0.133;0.000;119.29
4;0.040336;0.142;0.133;0.017;119.53
4;0.045944;0.151;0.141;0.018;119.27
4;0.038017;0.148;0.130;0.009;120.17
4;0.046749;0.165;0.138;0.000;118.99
4;0.040790;0.150;0.135;0.011;119.19
4;0.034238;0.133;0.127;0.012;113.45
4;0.042502;0.164;0.139;0.000;118.15
4;0.034664;0.127;0.128;0.018;113.53
4;0.036945;0.155;0.131;0.000;118.51
4;0.034256;0.131;0.127;0.012;113.03
4;0.038566;0.148;0.131;0.009;120.05
4;0.037770;0.161;0.133;0.000;120.69
4;0.038227;0.159;0.132;0.000;120.23
4;0.037928;0.159;0.132;0.000;120.79
4;0.038336;0.160;0.133;0.000;120.43
4;0.034945;0.137;0.131;0.012;113.73
4;0.040892;0.163;0.137;0.000;118.69
4;0.048726;0.142;0.160;0.047;118.25
4;0.036142;0.127;0.134;0.025;113.41
4;0.037646;0.145;0.135;0.017;120.59
4;0.034781;0.149;0.130;0.000;114.40
4;0.039011;0.152;0.135;0.009;119.46
4;0.038530;0.139;0.134;0.021;119.71
4;0.042271;0.163;0.137;0.000;119.36
4;0.035919;0.140;0.131;0.009;113.67
4;0.036504;0.144;0.132;0.010;117.25
4;0.035240;0.136;0.127;0.010;115.18
4;0.045638;0.168;0.141;0.000;119.45
4;0.038862;0.147;0.132;0.010;119.72
4;0.039034;0.147;0.133;0.011;119.82
4;0.035794;0.138;0.129;0.010;114.30
4;0.049912;0.140;0.146;0.030;116.89
4;0.038538;0.148;0.137;0.011;116.83
4;0.040359;0.152;0.136;0.010;119.36
4;0.038398;0.132;0.133;0.028;120.15
4;0.034201;0.144;0.127;0.000;113.92
4;0.038183;0.151;0.135;0.009;118.49
4;0.037814;0.158;0.133;0.000;118.97
4;0.034989;0.137;0.131;0.012;113.66
4;0.039741;0.162;0.135;0.000;119.52
4;0.035318;0.119;0.129;0.030;114.59
4;0.037896;0.159;0.133;0.000;120.19
4;0.038353;0.150;0.135;0.011;119.04
4;0.035070;0.138;0.129;0.010;114.25
4;0.038785;0.140;0.134;0.020;120.07
4;0.041098;0.153;0.137;0.010;119.04
4;0.039060;0.151;0.134;0.009;119.80
4;0.038089;0.159;0.133;0.000;119.06
4;0.061801;0.183;0.157;0.000;116.79
4;0.040960;0.153;0.136;0.010;119.79
4;0.038755;0.150;0.133;0.010;119.84
4;0.055595;0.169;0.151;0.009;117.79
4;0.038035;0.160;0.134;0.000;119.98
4;0.038934;0.150;0.134;0.010;119.12
4;0.038039;0.142;0.133;0.018;119.55
4;0.051316;0.148;0.146;0.023;117.00
4;0.038567;0.136;0.133;0.023;119.40
4;0.039022;0.141;0.134;0.020;119.95
4;0.038206;0.130;0.133;0.030;120.19
4;0.045489;0.151;0.141;0.020;121.43
4;0.042809;0.156;0.138;0.009;119.26
4;0.038087;0.151;0.133;0.009;119.78
4;0.045812;0.156;0.141;0.010;118.31
4;0.062050;0.185;0.158;0.000;116.75
4;0.038405;0.150;0.134;0.010;119.59
4;0.038646;0.144;0.134;0.017;119.81
4;0.039105;0.142;0.136;0.020;119.46
4;0.035818;0.140;0.132;0.009;113.44
4;0.037101;0.106;0.132;0.047;115.86
4;0.039762;0.161;0.134;0.000;120.34
4;0.034902;0.149;0.132;0.000;113.72
4;0.042727;0.157;0.137;0.009;120.31
4;0.039844;0.168;0.139;0.000;120.46
4;0.044779;0.164;0.149;0.010;117.23
4;0.039168;0.160;0.133;0.000;120.24
4;0.038430;0.149;0.133;0.011;119.91
4;0.036328;0.140;0.131;0.010;114.63
4;0.039472;0.161;0.137;0.000;117.48
4;0.039597;0.154;0.137;0.010;119.93
4;0.035356;0.151;0.134;0.000;112.90
4;0.039656;0.158;0.139;0.010;120.35
4;0.035654;0.153;0.134;0.000;114.21
4;0.039579;0.162;0.135;0.000;119.87
4;0.040196;0.167;0.140;0.000;119.60
4;0.045195;0.158;0.142;0.011;118.95
4;0.034819;0.149;0.131;0.000;113.74
4;0.041373;0.157;0.140;0.010;119.33
4;0.039458;0.146;0.137;0.018;120.05
4;0.038902;0.154;0.137;0.009;119.54
4;0.035845;0.141;0.134;0.011;113.43
4;0.039081;0.164;0.138;0.000;119.44
