nThread;timeInt;user;real;sys;pCPU
1;0.053969;0.128;0.153;0.020;96.49
1;0.054749;0.143;0.159;0.010;96.30
1;0.048117;0.130;0.146;0.010;95.87
1;0.054044;0.139;0.155;0.010;96.16
1;0.048419;0.129;0.144;0.010;96.57
1;0.047763;0.134;0.139;0.000;96.46
1;0.047070;0.124;0.140;0.010;95.49
1;0.047152;0.132;0.138;0.000;96.17
1;0.047911;0.134;0.139;0.000;96.40
1;0.047343;0.115;0.139;0.019;96.46
1;0.048005;0.123;0.139;0.010;95.70
1;0.046701;0.133;0.139;0.000;95.49
1;0.046313;0.122;0.137;0.010;96.54
1;0.046775;0.121;0.136;0.010;96.29
1;0.048236;0.135;0.141;0.000;95.87
1;0.048096;0.124;0.141;0.010;95.68
1;0.046705;0.132;0.138;0.000;95.81
1;0.052203;0.143;0.148;0.000;96.91
1;0.046367;0.130;0.136;0.000;95.86
1;0.045490;0.129;0.135;0.000;95.68
1;0.050706;0.124;0.139;0.010;96.40
1;0.046733;0.123;0.137;0.009;96.14
1;0.046018;0.102;0.135;0.028;96.31
1;0.046306;0.120;0.136;0.010;95.77
1;0.046253;0.121;0.137;0.010;95.46
1;0.046124;0.121;0.136;0.010;96.41
1;0.046032;0.119;0.135;0.011;96.03
1;0.045906;0.132;0.137;0.000;96.77
1;0.046103;0.120;0.136;0.010;95.48
1;0.045973;0.119;0.136;0.010;95.23
1;0.046299;0.122;0.137;0.009;95.84
1;0.051386;0.114;0.150;0.031;96.42
1;0.045370;0.110;0.135;0.020;96.26
1;0.046051;0.130;0.134;0.000;96.77
1;0.045866;0.119;0.134;0.011;96.94
1;0.046696;0.130;0.136;0.000;95.33
1;0.046233;0.130;0.135;0.000;96.37
1;0.046055;0.121;0.136;0.010;96.48
1;0.046837;0.111;0.137;0.020;95.64
1;0.046019;0.110;0.135;0.020;96.36
1;0.046500;0.121;0.137;0.010;95.62
1;0.046856;0.120;0.135;0.010;96.04
1;0.045708;0.130;0.135;0.000;96.17
1;0.045848;0.121;0.136;0.009;95.86
1;0.045946;0.103;0.135;0.028;96.43
1;0.056406;0.110;0.146;0.030;95.86
1;0.045295;0.118;0.133;0.010;96.08
1;0.047316;0.123;0.139;0.010;96.25
1;0.046634;0.132;0.140;0.000;94.55
1;0.045780;0.120;0.136;0.010;95.64
1;0.045737;0.128;0.134;0.000;95.70
1;0.045546;0.118;0.134;0.010;95.87
1;0.045691;0.128;0.134;0.000;95.64
1;0.044934;0.116;0.131;0.010;96.35
1;0.046872;0.131;0.136;0.000;95.90
1;0.046001;0.130;0.136;0.000;95.30
1;0.045684;0.123;0.137;0.009;96.51
1;0.045590;0.119;0.135;0.010;95.93
1;0.045218;0.129;0.136;0.000;95.37
1;0.051727;0.124;0.140;0.010;95.79
1;0.045202;0.130;0.136;0.000;95.81
1;0.045228;0.128;0.133;0.000;96.27
1;0.046825;0.128;0.134;0.000;95.52
1;0.045479;0.129;0.135;0.000;95.69
1;0.045028;0.127;0.132;0.000;96.01
1;0.045382;0.119;0.134;0.010;95.99
