nThread;timeInt;user;real;sys;pCPU
2;0.037736;0.116;0.128;0.019;105.58
2;0.040169;0.128;0.130;0.011;106.80
2;0.036318;0.128;0.122;0.000;104.77
2;0.036695;0.120;0.125;0.010;104.15
2;0.036386;0.111;0.126;0.021;104.50
2;0.036979;0.132;0.127;0.000;103.58
2;0.035903;0.130;0.125;0.000;104.20
2;0.035733;0.119;0.124;0.011;104.51
2;0.036643;0.133;0.127;0.000;104.42
2;0.036368;0.119;0.123;0.010;104.90
2;0.041453;0.113;0.138;0.031;104.35
2;0.037199;0.124;0.128;0.010;104.30
2;0.036367;0.124;0.129;0.010;104.21
2;0.036710;0.122;0.125;0.009;104.63
2;0.036280;0.111;0.126;0.020;103.93
2;0.036977;0.130;0.124;0.000;104.35
2;0.036890;0.120;0.125;0.010;103.93
2;0.042432;0.127;0.130;0.011;105.97
2;0.036822;0.132;0.127;0.000;104.68
2;0.048414;0.146;0.138;0.000;105.42
2;0.036310;0.133;0.127;0.000;104.63
2;0.036872;0.120;0.124;0.010;104.76
2;0.036171;0.130;0.125;0.000;104.51
2;0.036134;0.128;0.122;0.000;105.09
2;0.037169;0.121;0.125;0.010;104.84
2;0.044346;0.133;0.135;0.009;105.45
2;0.038339;0.124;0.127;0.010;105.61
2;0.036961;0.122;0.125;0.009;104.71
2;0.036003;0.130;0.124;0.000;104.86
2;0.037040;0.121;0.125;0.010;104.40
2;0.036952;0.131;0.125;0.000;104.41
2;0.038114;0.123;0.126;0.009;105.14
2;0.036538;0.111;0.125;0.020;104.67
2;0.037039;0.113;0.127;0.019;104.10
2;0.036873;0.122;0.126;0.009;104.35
2;0.037043;0.130;0.124;0.000;104.75
2;0.034955;0.128;0.122;0.000;104.84
2;0.037583;0.131;0.125;0.000;104.41
2;0.036633;0.120;0.124;0.010;104.96
2;0.035636;0.129;0.123;0.000;104.88
2;0.042595;0.119;0.131;0.018;104.57
2;0.036517;0.130;0.124;0.000;104.72
2;0.036405;0.119;0.123;0.010;104.78
2;0.036996;0.120;0.123;0.010;105.37
2;0.036208;0.130;0.125;0.000;104.70
2;0.036524;0.110;0.125;0.020;104.27
2;0.036520;0.119;0.123;0.009;104.26
2;0.035999;0.128;0.122;0.000;104.71
2;0.036735;0.119;0.123;0.010;105.08
2;0.036660;0.129;0.124;0.000;104.22
2;0.036257;0.130;0.124;0.000;104.82
2;0.036306;0.120;0.124;0.010;104.89
2;0.036878;0.120;0.124;0.010;105.11
2;0.036287;0.118;0.123;0.011;104.36
2;0.036491;0.112;0.127;0.020;103.80
2;0.036554;0.120;0.125;0.010;104.49
2;0.036679;0.121;0.124;0.009;105.48
2;0.036754;0.131;0.125;0.000;104.96
2;0.036575;0.122;0.125;0.009;104.61
2;0.037016;0.120;0.125;0.010;104.44
2;0.036067;0.130;0.125;0.000;104.20
2;0.037842;0.122;0.127;0.010;104.76
2;0.037410;0.132;0.126;0.000;104.69
2;0.038066;0.114;0.125;0.019;105.98
2;0.036746;0.121;0.125;0.010;104.71
2;0.036610;0.129;0.124;0.000;104.55
2;0.036263;0.120;0.125;0.011;104.78
2;0.037442;0.136;0.129;0.000;104.71
