nThread;timeInt;user;real;sys;pCPU
4;0.005312;0.014;0.024;0.014;118.87
4;0.004464;0.028;0.026;0.000;108.09
4;0.004125;0.026;0.025;0.000;103.47
4;0.004608;0.025;0.031;0.005;95.77
4;0.005014;0.029;0.026;0.000;112.74
4;0.004851;0.026;0.025;0.000;106.49
4;0.004368;0.026;0.025;0.000;104.23
4;0.004296;0.022;0.023;0.005;116.89
4;0.004999;0.014;0.023;0.014;122.40
4;0.004771;0.026;0.022;0.000;115.41
4;0.004169;0.025;0.024;0.000;104.79
4;0.004173;0.027;0.025;0.000;106.48
4;0.004330;0.028;0.025;0.000;110.79
4;0.004248;0.027;0.024;0.000;112.86
4;0.004702;0.022;0.024;0.005;114.48
4;0.004588;0.026;0.024;0.000;111.60
4;0.004361;0.013;0.024;0.013;109.42
4;0.004738;0.027;0.025;0.000;110.12
4;0.004495;0.026;0.025;0.000;102.73
4;0.005038;0.028;0.025;0.000;111.35
4;0.004548;0.022;0.023;0.005;117.15
4;0.004710;0.027;0.024;0.000;112.08
4;0.004204;0.000;0.022;0.026;115.85
4;0.004251;0.014;0.024;0.013;112.77
4;0.004125;0.025;0.024;0.000;105.97
4;0.005283;0.030;0.025;0.000;118.64
4;0.005425;0.028;0.024;0.000;116.75
4;0.005915;0.030;0.024;0.000;122.49
4;0.004341;0.027;0.024;0.000;110.42
4;0.004365;0.027;0.024;0.000;111.52
4;0.004308;0.027;0.023;0.000;114.52
4;0.004126;0.026;0.024;0.000;108.84
4;0.004534;0.009;0.023;0.017;109.68
4;0.004303;0.012;0.023;0.012;107.52
4;0.003829;0.012;0.022;0.012;107.06
4;0.004415;0.013;0.023;0.013;109.57
4;0.004461;0.025;0.022;0.000;115.34
4;0.004379;0.026;0.024;0.000;108.08
4;0.004101;0.025;0.023;0.000;108.76
4;0.007769;0.018;0.027;0.017;127.91
4;0.005282;0.030;0.025;0.000;119.09
4;0.004196;0.025;0.023;0.000;110.01
4;0.005415;0.029;0.025;0.000;116.53
4;0.004110;0.025;0.025;0.000;103.10
4;0.003988;0.025;0.024;0.000;105.83
4;0.004560;0.027;0.024;0.000;111.07
4;0.004745;0.027;0.024;0.000;112.95
4;0.004496;0.000;0.023;0.025;111.55
4;0.004893;0.032;0.051;0.000;63.19
4;0.004813;0.026;0.028;0.005;113.38
4;0.005923;0.020;0.025;0.010;121.74
4;0.005842;0.019;0.025;0.009;115.16
4;0.004567;0.026;0.024;0.000;107.00
4;0.004271;0.026;0.024;0.000;108.71
4;0.005052;0.027;0.026;0.000;103.22
4;0.004721;0.029;0.025;0.000;114.75
4;0.005130;0.029;0.024;0.000;117.66
4;0.004937;0.028;0.025;0.000;111.53
4;0.004333;0.023;0.024;0.004;111.02
4;0.004284;0.027;0.024;0.000;113.44
4;0.004166;0.013;0.023;0.012;106.19
4;0.004488;0.027;0.024;0.000;110.70
4;0.004062;0.025;0.024;0.000;106.49
4;0.003987;0.025;0.024;0.000;102.37
4;0.004096;0.025;0.023;0.000;108.17
4;0.004370;0.026;0.024;0.000;112.10
4;0.004351;0.000;0.023;0.026;111.92
4;0.004568;0.027;0.025;0.000;110.18
4;0.004436;0.022;0.024;0.005;111.83
4;0.005748;0.028;0.025;0.000;111.09
4;0.005061;0.014;0.025;0.014;114.70
4;0.004398;0.000;0.023;0.025;108.55
4;0.004519;0.021;0.023;0.005;115.00
4;0.004402;0.022;0.028;0.005;99.63
4;0.004294;0.026;0.024;0.000;109.30
4;0.005360;0.029;0.024;0.000;120.01
4;0.005414;0.010;0.026;0.020;117.77
4;0.003841;0.012;0.023;0.012;105.43
4;0.004693;0.027;0.024;0.000;111.72
4;0.004204;0.020;0.023;0.005;108.96
4;0.004372;0.027;0.024;0.000;112.04
4;0.004501;0.027;0.023;0.000;117.09
4;0.004693;0.027;0.023;0.000;118.84
4;0.004311;0.027;0.024;0.000;109.62
4;0.003936;0.025;0.024;0.000;102.41
4;0.005242;0.028;0.024;0.000;117.03
4;0.004227;0.008;0.023;0.016;105.89
4;0.004464;0.013;0.022;0.012;113.32
4;0.004116;0.026;0.023;0.000;111.80
4;0.004086;0.000;0.024;0.025;107.52
4;0.004373;0.021;0.025;0.006;107.11
4;0.005352;0.030;0.026;0.000;115.62
4;0.004603;0.013;0.023;0.013;112.89
4;0.004658;0.026;0.022;0.000;116.85
4;0.004641;0.027;0.025;0.000;111.39
4;0.004180;0.026;0.023;0.000;110.73
4;0.004262;0.027;0.024;0.000;111.46
4;0.004431;0.000;0.023;0.025;112.29
4;0.004670;0.026;0.024;0.000;110.37
4;0.003951;0.021;0.025;0.004;99.69
4;0.004402;0.000;0.025;0.028;114.13
4;0.005301;0.014;0.024;0.014;116.97
4;0.004689;0.028;0.024;0.000;113.80
4;0.005779;0.030;0.026;0.000;115.20
4;0.004590;0.000;0.025;0.026;104.74
4;0.004242;0.014;0.024;0.013;111.70
4;0.004464;0.025;0.025;0.001;103.40
4;0.004344;0.027;0.024;0.000;112.12
4;0.004451;0.026;0.023;0.000;111.18
4;0.004377;0.027;0.024;0.000;112.57
4;0.005268;0.028;0.024;0.000;116.77
4;0.004570;0.027;0.025;0.000;111.63
4;0.004181;0.014;0.024;0.013;112.77
4;0.004347;0.013;0.023;0.012;106.75
4;0.004052;0.025;0.023;0.000;110.73
4;0.004225;0.027;0.025;0.000;106.88
4;0.005110;0.028;0.025;0.000;111.30
4;0.005464;0.029;0.025;0.000;117.73
4;0.004955;0.021;0.024;0.007;118.82
4;0.005805;0.028;0.025;0.000;114.12
4;0.006034;0.025;0.026;0.006;119.54
4;0.005683;0.033;0.028;0.000;116.17
4;0.005488;0.033;0.030;0.000;107.36
4;0.005006;0.018;0.024;0.009;116.19
4;0.005316;0.029;0.024;0.000;118.77
4;0.004578;0.015;0.027;0.014;105.74
4;0.004661;0.015;0.026;0.014;113.53
4;0.004348;0.013;0.025;0.013;106.11
