nThread;timeInt;user;real;sys;pCPU
4;0.000392;0.004;0.011;0.000;36.54
4;0.000357;0.004;0.010;0.000;40.01
4;0.000690;0.001;0.010;0.004;50.43
4;0.000429;0.004;0.010;0.000;43.16
4;0.000358;0.004;0.009;0.000;43.28
4;0.000343;0.000;0.009;0.003;39.77
4;0.000437;0.000;0.010;0.004;42.76
4;0.000379;0.004;0.008;0.000;44.44
4;0.000633;0.000;0.010;0.004;45.93
4;0.000417;0.004;0.009;0.000;42.67
4;0.000360;0.004;0.009;0.000;41.70
4;0.000461;0.000;0.011;0.004;44.14
4;0.000372;0.003;0.009;0.000;40.98
4;0.000436;0.005;0.011;0.000;40.47
4;0.000341;0.003;0.009;0.000;37.76
4;0.000409;0.000;0.013;0.005;38.44
4;0.001819;0.008;0.012;0.002;86.45
4;0.000519;0.005;0.012;0.000;40.94
4;0.000414;0.004;0.010;0.000;45.14
4;0.000385;0.003;0.008;0.000;37.55
4;0.000499;0.004;0.010;0.000;42.95
4;0.000357;0.004;0.010;0.000;42.30
4;0.000367;0.004;0.009;0.000;42.12
4;0.000413;0.004;0.010;0.000;41.90
4;0.000351;0.004;0.011;0.000;39.03
4;0.000518;0.005;0.010;0.000;51.34
4;0.000369;0.004;0.009;0.000;40.94
4;0.000404;0.005;0.011;0.000;45.05
4;0.000369;0.003;0.008;0.000;40.56
4;0.000371;0.000;0.011;0.004;40.81
4;0.000427;0.004;0.009;0.000;44.00
4;0.000357;0.004;0.008;0.000;43.33
4;0.000391;0.000;0.011;0.004;42.04
4;0.000442;0.000;0.009;0.003;45.18
4;0.000461;0.004;0.009;0.000;42.90
4;0.000362;0.002;0.008;0.002;44.11
4;0.000437;0.005;0.010;0.000;51.39
4;0.000386;0.004;0.009;0.000;47.85
4;0.000368;0.003;0.009;0.000;39.06
4;0.000397;0.000;0.010;0.004;42.20
4;0.000355;0.004;0.010;0.000;39.41
4;0.000350;0.000;0.009;0.003;42.83
4;0.000342;0.004;0.009;0.000;45.47
4;0.000364;0.000;0.011;0.004;39.97
4;0.000394;0.004;0.009;0.000;43.94
4;0.000466;0.004;0.009;0.000;44.42
4;0.000373;0.004;0.009;0.000;45.15
4;0.000427;0.004;0.011;0.001;47.21
4;0.000368;0.004;0.009;0.000;41.80
4;0.000394;0.004;0.012;0.000;36.68
4;0.000452;0.003;0.010;0.000;29.82
4;0.000348;0.003;0.008;0.000;39.67
4;0.000409;0.000;0.009;0.004;44.72
