nThread;timeInt;user;real;sys;pCPU
1;0.000570;0.008;0.016;0.000;50.77
1;0.000599;0.009;0.019;0.000;45.13
1;0.000360;0.007;0.015;0.000;44.02
1;0.000358;0.005;0.012;0.000;40.32
1;0.000419;0.007;0.015;0.000;50.47
1;0.000838;0.009;0.018;0.000;48.93
1;0.000528;0.001;0.016;0.007;47.44
1;0.000365;0.007;0.014;0.000;48.22
1;0.000354;0.006;0.012;0.000;46.92
1;0.000558;0.001;0.018;0.008;43.77
1;0.000641;0.008;0.015;0.000;51.59
1;0.000471;0.001;0.016;0.007;48.98
1;0.000353;0.001;0.015;0.006;43.89
1;0.000358;0.001;0.016;0.007;47.06
1;0.000370;0.001;0.016;0.007;49.76
1;0.000428;0.007;0.016;0.000;47.53
1;0.000356;0.006;0.014;0.000;44.95
1;0.000557;0.007;0.014;0.000;52.08
1;0.000352;0.006;0.013;0.000;47.69
1;0.000382;0.007;0.015;0.000;46.80
1;0.000579;0.008;0.015;0.000;50.65
1;0.000554;0.006;0.013;0.000;50.47
1;0.000575;0.007;0.013;0.000;53.61
1;0.000346;0.001;0.012;0.005;51.09
1;0.000355;0.006;0.012;0.000;49.06
1;0.000648;0.001;0.017;0.008;50.03
1;0.000532;0.008;0.017;0.000;48.69
1;0.000607;0.008;0.016;0.000;49.31
1;0.000717;0.007;0.014;0.000;52.48
1;0.000355;0.006;0.013;0.000;50.23
1;0.000526;0.008;0.017;0.000;46.01
1;0.000655;0.007;0.015;0.000;49.68
1;0.000426;0.007;0.015;0.000;44.91
1;0.000437;0.006;0.013;0.000;50.04
1;0.000354;0.006;0.013;0.000;45.27
1;0.000378;0.006;0.013;0.000;43.37
1;0.000593;0.007;0.014;0.000;47.29
1;0.000368;0.007;0.016;0.001;47.03
1;0.000355;0.006;0.014;0.000;45.81
1;0.000375;0.007;0.016;0.000;46.37
1;0.000372;0.006;0.013;0.000;51.44
1;0.000603;0.008;0.021;0.000;38.58
1;0.000485;0.001;0.016;0.007;48.60
1;0.000373;0.006;0.013;0.000;47.80
1;0.000619;0.001;0.014;0.007;51.33
