nThread;timeInt;user;real;sys;pCPU
1;0.000623;0.007;0.014;0.000;50.91
1;0.000412;0.007;0.015;0.000;46.97
1;0.000540;0.007;0.014;0.000;47.11
1;0.000386;0.006;0.014;0.000;44.68
1;0.000403;0.006;0.015;0.001;44.68
1;0.000466;0.006;0.013;0.000;45.87
1;0.000388;0.006;0.015;0.001;43.38
1;0.000411;0.006;0.013;0.000;46.26
1;0.000613;0.007;0.016;0.000;45.05
1;0.000413;0.006;0.013;0.000;48.35
1;0.000475;0.000;0.013;0.006;49.47
1;0.000389;0.006;0.013;0.000;49.07
1;0.000397;0.008;0.017;0.000;49.00
1;0.000395;0.007;0.014;0.000;46.91
1;0.000412;0.006;0.013;0.000;48.06
1;0.000388;0.006;0.014;0.000;43.98
1;0.000433;0.006;0.012;0.000;48.90
1;0.000394;0.007;0.014;0.000;49.86
1;0.000723;0.001;0.015;0.007;52.58
1;0.000431;0.001;0.013;0.006;48.73
1;0.000434;0.006;0.014;0.000;46.99
1;0.000636;0.001;0.017;0.007;45.92
1;0.000547;0.001;0.014;0.006;48.50
1;0.000541;0.007;0.015;0.000;49.26
1;0.000524;0.007;0.015;0.000;49.26
1;0.000633;0.007;0.014;0.000;50.81
1;0.000456;0.008;0.015;0.000;49.07
1;0.000500;0.008;0.016;0.000;50.34
1;0.000394;0.001;0.014;0.006;48.13
1;0.000389;0.001;0.014;0.006;49.50
1;0.000591;0.009;0.018;0.000;51.61
1;0.000388;0.000;0.013;0.006;47.84
1;0.000416;0.001;0.015;0.006;45.49
1;0.000433;0.007;0.015;0.000;48.40
1;0.000511;0.009;0.018;0.000;48.20
1;0.000416;0.008;0.016;0.000;49.69
1;0.000454;0.007;0.014;0.000;48.81
1;0.000411;0.000;0.016;0.008;50.03
1;0.000705;0.008;0.015;0.000;50.66
1;0.000424;0.007;0.014;0.000;49.24
1;0.000441;0.004;0.013;0.003;51.02
1;0.000435;0.006;0.012;0.000;48.14
1;0.000390;0.004;0.013;0.003;49.54
