nThread;timeInt;user;real;sys;pCPU
8;0.063397;0.248;0.163;0.000;152.23
8;0.061949;0.235;0.160;0.008;151.30
8;0.062999;0.237;0.162;0.011;153.03
8;0.061360;0.233;0.159;0.008;151.66
8;0.061469;0.244;0.161;0.000;151.74
8;0.061805;0.233;0.158;0.011;154.74
8;0.062072;0.222;0.162;0.022;150.60
8;0.063503;0.235;0.160;0.017;157.06
8;0.063067;0.249;0.162;0.000;153.74
8;0.073384;0.283;0.171;0.020;177.15
8;0.062888;0.244;0.162;0.000;150.66
8;0.068909;0.244;0.178;0.018;146.70
8;0.061789;0.243;0.161;0.000;151.01
8;0.062185;0.238;0.159;0.000;150.09
8;0.063716;0.231;0.161;0.022;156.59
8;0.064583;0.253;0.170;0.009;154.39
8;0.064302;0.247;0.163;0.000;151.86
8;0.063043;0.245;0.162;0.000;151.00
8;0.063890;0.252;0.162;0.000;155.24
8;0.063281;0.236;0.159;0.008;153.33
8;0.061304;0.242;0.159;0.000;151.97
8;0.066179;0.228;0.163;0.022;152.79
8;0.062121;0.223;0.158;0.016;151.15
8;0.071588;0.245;0.169;0.022;157.81
8;0.060199;0.237;0.157;0.000;151.49
8;0.062468;0.249;0.159;0.000;156.75
8;0.060972;0.238;0.156;0.000;152.31
8;0.061025;0.238;0.158;0.000;150.86
8;0.060925;0.237;0.157;0.000;151.12
8;0.061290;0.228;0.157;0.010;151.79
8;0.061904;0.231;0.159;0.011;152.10
8;0.062653;0.219;0.160;0.025;153.12
8;0.061444;0.228;0.161;0.011;148.60
8;0.060854;0.228;0.156;0.010;152.92
8;0.061502;0.247;0.158;0.000;156.60
8;0.061524;0.228;0.158;0.011;151.25
8;0.064113;0.240;0.159;0.000;151.32
8;0.062443;0.213;0.159;0.032;153.41
8;0.060250;0.228;0.157;0.008;151.09
8;0.061036;0.223;0.157;0.016;152.66
8;0.064854;0.257;0.162;0.009;164.44
8;0.061800;0.217;0.158;0.022;151.21
8;0.061624;0.229;0.158;0.011;151.50
8;0.061293;0.233;0.157;0.011;155.45
8;0.063636;0.241;0.160;0.011;157.67
8;0.062263;0.227;0.160;0.016;151.62
8;0.061285;0.232;0.161;0.011;150.86
8;0.062905;0.220;0.159;0.022;152.14
