blockSize;gridSize;elapsedInit;elapsedSort
32;3125000;0.014217;0.403643
32;3125000;0.0119;0.3852
32;3125000;0.01084;0.319153
32;3125000;0.009757;0.30132
32;3125000;0.009516;0.302497
32;3125000;0.009605;0.299955
32;3125000;0.009556;0.299686
32;3125000;0.009552;0.299915
32;3125000;0.009639;0.30024
32;3125000;0.009557;0.308097
32;3125000;0.009597;0.300934
32;3125000;0.009577;0.298407
32;3125000;0.009502;0.298886
32;3125000;0.009556;0.304209
32;3125000;0.009485;0.298419
32;3125000;0.009558;0.399519
32;3125000;0.01094;0.335213
32;3125000;0.010009;0.306821
32;3125000;0.009534;0.301718
32;3125000;0.009553;0.298561
32;3125000;0.00949;0.302051
32;3125000;0.009539;0.302644
32;3125000;0.009518;0.30093
32;3125000;0.009595;0.29875
32;3125000;0.009495;0.302346
32;3125000;0.009439;0.3077
32;3125000;0.009579;0.298524
32;3125000;0.009524;0.300196
32;3125000;0.009479;0.297943
32;3125000;0.009511;0.401532
32;3125000;0.01178;0.346237
32;3125000;0.009719;0.30685
32;3125000;0.009539;0.301755
32;3125000;0.009485;0.298398
32;3125000;0.009628;0.29751
32;3125000;0.009629;0.305495
32;3125000;0.009553;0.300379
32;3125000;0.009443;0.301609
32;3125000;0.009566;0.298043
32;3125000;0.009624;0.301959
32;3125000;0.009682;0.300534
32;3125000;0.009617;0.306849
32;3125000;0.009598;0.300196
32;3125000;0.009652;0.415592
32;3125000;0.011918;0.350126
32;3125000;0.009721;0.302994
32;3125000;0.009566;0.301352
32;3125000;0.009576;0.300014
32;3125000;0.009687;0.302203
32;3125000;0.009517;0.300923
64;1562500;0.005342;0.235641
64;1562500;0.005339;0.234797
64;1562500;0.005407;0.230464
64;1562500;0.005462;0.234641
64;1562500;0.006016;0.237184
64;1562500;0.005411;0.236278
64;1562500;0.005429;0.234451
64;1562500;0.005417;0.269474
64;1562500;0.005788;0.245093
64;1562500;0.005273;0.23313
64;1562500;0.005358;0.234235
64;1562500;0.005426;0.234447
64;1562500;0.005335;0.233976
64;1562500;0.005338;0.233572
64;1562500;0.005338;0.231098
64;1562500;0.00535;0.232247
64;1562500;0.005379;0.232474
64;1562500;0.007732;0.231663
64;1562500;0.0053;0.234456
64;1562500;0.005382;0.232867
64;1562500;0.005339;0.232893
64;1562500;0.005311;0.235077
64;1562500;0.00541;0.322017
64;1562500;0.006551;0.278248
64;1562500;0.005957;0.249456
64;1562500;0.00536;0.233328
64;1562500;0.00544;0.232787
64;1562500;0.005312;0.232334
64;1562500;0.005344;0.232785
64;1562500;0.005375;0.23405
64;1562500;0.005272;0.233299
64;1562500;0.005387;0.23351
64;1562500;0.005512;0.234283
64;1562500;0.005842;0.234851
64;1562500;0.005295;0.238427
64;1562500;0.005564;0.232687
64;1562500;0.005381;0.235123
64;1562500;0.005276;0.312758
64;1562500;0.006853;0.279041
64;1562500;0.00585;0.244584
64;1562500;0.005442;0.234704
64;1562500;0.005415;0.236515
64;1562500;0.00542;0.237826
64;1562500;0.005434;0.234211
64;1562500;0.005388;0.237679
64;1562500;0.005403;0.232606
64;1562500;0.005337;0.232107
64;1562500;0.00537;0.231616
64;1562500;0.005325;0.233063
64;1562500;0.005311;0.232498
128;781250;0.004326;0.211838
128;781250;0.004416;0.296013
128;781250;0.00527;0.246502
128;781250;0.004381;0.218719
128;781250;0.004381;0.216873
128;781250;0.004396;0.212004
128;781250;0.004255;0.221513
128;781250;0.004298;0.217989
128;781250;0.00433;0.213278
128;781250;0.004392;0.215072
128;781250;0.00438;0.215534
128;781250;0.004488;0.218107
128;781250;0.004371;0.216076
128;781250;0.004306;0.216517
128;781250;0.00439;0.218886
128;781250;0.00434;0.215108
128;781250;0.004433;0.288637
128;781250;0.005252;0.243317
128;781250;0.004499;0.2175
128;781250;0.004347;0.215454
128;781250;0.00431;0.211696
128;781250;0.004439;0.217375
128;781250;0.00438;0.220041
128;781250;0.004379;0.212818
128;781250;0.004315;0.21427
128;781250;0.004336;0.219587
128;781250;0.004368;0.217538
128;781250;0.004469;0.21538
128;781250;0.004328;0.215196
128;781250;0.00436;0.220357
128;781250;0.004394;0.221426
128;781250;0.004462;0.297922
128;781250;0.005735;0.271652
128;781250;0.005196;0.248593
128;781250;0.004718;0.235234
128;781250;0.004415;0.217052
128;781250;0.004273;0.211924
128;781250;0.004287;0.214947
128;781250;0.004387;0.218561
128;781250;0.004332;0.214771
128;781250;0.004384;0.214286
128;781250;0.004339;0.214662
128;781250;0.004288;0.218338
128;781250;0.004449;0.213523
128;781250;0.004363;0.215399
128;781250;0.005044;0.21613
128;781250;0.004412;0.297931
128;781250;0.005742;0.269545
128;781250;0.005306;0.241315
128;781250;0.00431;0.214046
256;390625;0.005488;0.211779
256;390625;0.00429;0.21203
256;390625;0.004383;0.218138
256;390625;0.004452;0.220107
256;390625;0.004363;0.211821
256;390625;0.004306;0.210366
256;390625;0.004341;0.209809
256;390625;0.004285;0.209735
256;390625;0.004337;0.21194
256;390625;0.004263;0.211116
256;390625;0.004348;0.214314
256;390625;0.004217;0.289642
256;390625;0.005137;0.240538
256;390625;0.004246;0.212761
256;390625;0.004278;0.212363
256;390625;0.004416;0.213076
256;390625;0.004262;0.210656
256;390625;0.004292;0.211448
256;390625;0.00434;0.21056
256;390625;0.004352;0.2113
256;390625;0.004286;0.208703
256;390625;0.004301;0.211296
256;390625;0.004382;0.211221
256;390625;0.004343;0.212209
256;390625;0.004286;0.210445
256;390625;0.004312;0.216574
256;390625;0.004276;0.292865
256;390625;0.005568;0.260113
256;390625;0.004766;0.227764
256;390625;0.004314;0.216306
256;390625;0.004312;0.212738
256;390625;0.004349;0.210889
256;390625;0.004388;0.210803
256;390625;0.004341;0.214103
256;390625;0.00446;0.210433
256;390625;0.004282;0.210557
256;390625;0.004397;0.213061
256;390625;0.004366;0.213565
256;390625;0.004317;0.211393
256;390625;0.004235;0.212275
