nThread;timeInt;user;real;sys;pCPU
1;0.003407;0.012;0.030;0.011;77.94
1;0.004622;0.030;0.037;0.000;80.77
1;0.003415;0.021;0.027;0.000;78.50
1;0.003815;0.011;0.028;0.010;75.47
1;0.004186;0.011;0.029;0.011;75.51
1;0.005817;0.013;0.032;0.012;77.85
1;0.003463;0.020;0.026;0.000;77.48
1;0.003391;0.021;0.026;0.000;79.04
1;0.003581;0.020;0.026;0.000;79.10
1;0.003623;0.020;0.026;0.000;79.25
1;0.003803;0.020;0.026;0.000;77.74
1;0.003516;0.014;0.026;0.007;78.85
1;0.003421;0.019;0.025;0.000;77.22
1;0.003284;0.019;0.024;0.000;78.90
1;0.003209;0.020;0.026;0.000;77.69
1;0.003270;0.020;0.027;0.000;75.47
1;0.004335;0.021;0.029;0.000;74.99
1;0.003218;0.024;0.030;0.000;81.20
1;0.003465;0.021;0.027;0.000;77.14
1;0.003499;0.014;0.028;0.007;76.59
1;0.003541;0.022;0.030;0.000;73.31
1;0.003338;0.019;0.025;0.001;79.03
1;0.004036;0.016;0.032;0.009;76.73
1;0.003476;0.020;0.027;0.000;76.25
1;0.003391;0.020;0.026;0.000;77.55
1;0.003768;0.022;0.028;0.000;77.29
1;0.003375;0.020;0.028;0.000;75.62
1;0.003715;0.020;0.026;0.000;79.08
1;0.003323;0.007;0.026;0.013;77.55
1;0.004412;0.021;0.027;0.000;78.64
1;0.003554;0.022;0.028;0.000;79.08
1;0.003377;0.014;0.026;0.007;79.39
1;0.003390;0.021;0.027;0.000;77.09
1;0.003396;0.021;0.028;0.000;72.52
1;0.003446;0.020;0.025;0.000;79.30
1;0.003228;0.007;0.025;0.013;79.35
1;0.003907;0.022;0.028;0.000;78.62
1;0.003225;0.011;0.027;0.010;76.90
1;0.003179;0.020;0.025;0.000;77.37
1;0.003344;0.011;0.026;0.010;78.16
1;0.003571;0.021;0.026;0.000;78.22
1;0.003399;0.021;0.026;0.000;80.38
1;0.003503;0.020;0.026;0.000;76.72
1;0.003616;0.025;0.032;0.000;79.50
1;0.003763;0.021;0.027;0.000;78.71
1;0.003534;0.020;0.027;0.000;76.82
1;0.003208;0.019;0.025;0.000;75.74
1;0.003185;0.020;0.026;0.000;73.88
1;0.003183;0.020;0.027;0.000;73.73
1;0.003276;0.020;0.027;0.000;73.74
1;0.003219;0.020;0.026;0.000;75.65
1;0.003250;0.010;0.025;0.009;76.32
1;0.003769;0.011;0.028;0.010;76.49
1;0.003310;0.019;0.025;0.000;77.91
1;0.003501;0.020;0.026;0.000;76.40
1;0.005296;0.023;0.028;0.000;79.55
1;0.003304;0.013;0.026;0.007;76.92
1;0.003347;0.018;0.024;0.001;77.72
1;0.003395;0.020;0.027;0.000;76.23
1;0.004301;0.011;0.027;0.010;77.30
1;0.003317;0.020;0.027;0.000;77.90
1;0.003459;0.019;0.025;0.000;75.66
1;0.003413;0.020;0.027;0.000;74.93
1;0.003236;0.020;0.025;0.000;77.48
1;0.003910;0.021;0.028;0.000;75.11
1;0.003712;0.021;0.029;0.000;72.61
1;0.003575;0.020;0.026;0.000;75.38
1;0.005292;0.029;0.035;0.000;84.63
1;0.003714;0.021;0.026;0.000;77.89
1;0.003393;0.026;0.032;0.000;80.63
1;0.003410;0.010;0.026;0.009;72.54
1;0.003761;0.025;0.032;0.000;79.31
1;0.003340;0.020;0.027;0.000;74.32
1;0.003965;0.024;0.031;0.000;79.45
1;0.004432;0.028;0.036;0.000;79.02
1;0.003178;0.020;0.026;0.000;74.10
1;0.004258;0.021;0.028;0.000;75.07
1;0.003537;0.019;0.026;0.000;73.14
1;0.003279;0.019;0.026;0.000;73.87
1;0.003435;0.018;0.024;0.000;76.32
1;0.003192;0.019;0.025;0.000;77.89
1;0.003324;0.010;0.026;0.009;75.38
1;0.003285;0.020;0.027;0.000;74.79
1;0.003160;0.020;0.027;0.000;73.11
1;0.003335;0.020;0.027;0.000;72.78
1;0.003141;0.019;0.025;0.000;77.07
1;0.003084;0.019;0.025;0.000;75.80
1;0.003138;0.021;0.027;0.000;76.24
1;0.003143;0.019;0.026;0.000;74.21
1;0.003111;0.019;0.024;0.000;77.23
1;0.003268;0.020;0.026;0.000;77.56
1;0.003143;0.019;0.025;0.000;77.49
1;0.003144;0.019;0.026;0.000;74.87
1;0.003276;0.020;0.026;0.000;77.51
1;0.004050;0.020;0.025;0.000;79.16
1;0.003033;0.018;0.024;0.000;74.09
1;0.003051;0.019;0.024;0.000;76.87
1;0.003176;0.010;0.025;0.009;76.29
1;0.004544;0.018;0.033;0.009;81.64
1;0.003106;0.018;0.025;0.000;73.91
1;0.003266;0.021;0.027;0.000;78.96
1;0.003409;0.020;0.026;0.000;75.33
1;0.003462;0.020;0.026;0.000;77.14
1;0.003240;0.020;0.026;0.000;78.13
1;0.003502;0.020;0.025;0.000;77.40
1;0.003230;0.019;0.024;0.000;77.06
1;0.003201;0.019;0.025;0.000;76.56
1;0.003573;0.020;0.025;0.000;80.31
1;0.003651;0.013;0.025;0.006;78.59
1;0.003187;0.018;0.024;0.000;76.89
1;0.004696;0.022;0.028;0.000;79.17
1;0.003815;0.021;0.026;0.000;80.39
1;0.004854;0.026;0.034;0.000;78.57
1;0.005262;0.028;0.034;0.000;81.06
1;0.003718;0.022;0.028;0.000;78.48
1;0.003401;0.020;0.027;0.000;76.11
1;0.003620;0.021;0.027;0.001;78.38
1;0.003480;0.022;0.029;0.000;76.72
1;0.003341;0.020;0.026;0.000;77.16
1;0.003498;0.022;0.027;0.000;80.07
1;0.003562;0.020;0.026;0.000;77.69
1;0.003952;0.021;0.027;0.000;78.45
1;0.003451;0.020;0.026;0.000;78.07
1;0.003617;0.020;0.025;0.000;77.46
1;0.003238;0.020;0.027;0.000;73.57
1;0.003265;0.019;0.024;0.000;78.14
1;0.003414;0.010;0.026;0.010;77.42
1;0.003254;0.020;0.027;0.000;74.04
1;0.003372;0.019;0.025;0.000;76.50
1;0.004973;0.030;0.036;0.000;83.02
1;0.003290;0.010;0.026;0.010;75.94
1;0.004309;0.019;0.034;0.009;81.05
1;0.003353;0.020;0.027;0.000;74.15
1;0.003599;0.022;0.029;0.000;75.96
1;0.003223;0.021;0.027;0.000;78.70
1;0.004569;0.023;0.029;0.000;79.02
1;0.003314;0.021;0.027;0.000;76.28
1;0.003211;0.007;0.026;0.013;76.44
1;0.003270;0.020;0.027;0.000;75.35
1;0.003471;0.021;0.026;0.000;79.25
1;0.003434;0.020;0.027;0.001;77.58
1;0.003281;0.020;0.026;0.000;78.99
1;0.003381;0.020;0.026;0.000;76.24
1;0.003891;0.023;0.029;0.000;80.24
1;0.003103;0.020;0.027;0.000;72.71
1;0.003245;0.014;0.027;0.007;78.14
1;0.003586;0.021;0.027;0.000;76.76
1;0.003902;0.020;0.026;0.000;78.42
1;0.003837;0.021;0.028;0.000;74.85
1;0.003498;0.022;0.029;0.000;74.77
1;0.003558;0.001;0.027;0.020;77.28
1;0.003357;0.020;0.025;0.000;77.18
1;0.003350;0.020;0.026;0.001;77.74
1;0.003155;0.020;0.026;0.000;77.58
