nThread;timeInt;user;real;sys;pCPU
0;0.023857;0.104;0.119;0.010;96.13
0;0.023775;0.103;0.118;0.010;95.48
0;0.022945;0.111;0.117;0.000;95.02
0;0.023752;0.111;0.116;0.000;95.16
0;0.023858;0.111;0.117;0.000;94.70
0;0.023322;0.112;0.118;0.000;94.36
0;0.022679;0.108;0.114;0.000;95.14
0;0.022767;0.109;0.114;0.000;95.63
0;0.022771;0.110;0.117;0.000;94.76
0;0.022729;0.108;0.114;0.000;95.17
0;0.024363;0.111;0.117;0.000;95.26
0;0.023021;0.112;0.117;0.000;95.30
0;0.022716;0.109;0.115;0.000;95.06
0;0.022740;0.108;0.114;0.000;95.20
0;0.023190;0.110;0.116;0.000;95.15
0;0.023361;0.098;0.113;0.011;95.72
0;0.022939;0.100;0.115;0.010;95.53
0;0.022734;0.108;0.113;0.000;95.58
0;0.023104;0.109;0.114;0.000;96.07
0;0.022974;0.092;0.118;0.020;95.22
0;0.022581;0.109;0.114;0.000;95.59
0;0.023225;0.110;0.114;0.000;96.17
0;0.022904;0.108;0.113;0.000;95.19
0;0.022905;0.099;0.116;0.011;95.00
0;0.023530;0.099;0.114;0.010;95.42
0;0.023012;0.109;0.114;0.000;95.00
0;0.022913;0.098;0.114;0.011;95.31
0;0.023417;0.111;0.116;0.000;94.98
0;0.022913;0.099;0.114;0.010;95.42
0;0.022821;0.108;0.113;0.000;95.73
0;0.022760;0.090;0.115;0.020;95.27
0;0.023341;0.099;0.114;0.010;95.27
0;0.022942;0.108;0.114;0.000;95.17
0;0.022734;0.108;0.112;0.000;95.80
0;0.022710;0.112;0.117;0.000;95.74
0;0.025900;0.105;0.119;0.010;96.20
0;0.023165;0.111;0.117;0.000;94.78
0;0.022604;0.107;0.113;0.000;95.17
0;0.022966;0.101;0.116;0.010;95.16
0;0.022987;0.109;0.115;0.000;94.99
0;0.025835;0.112;0.118;0.000;95.06
0;0.022727;0.099;0.114;0.009;95.14
0;0.022569;0.108;0.114;0.000;94.79
0;0.023686;0.111;0.116;0.000;95.58
0;0.023756;0.111;0.117;0.000;94.64
0;0.022988;0.103;0.118;0.010;95.79
0;0.022789;0.108;0.113;0.000;95.06
0;0.022906;0.108;0.113;0.000;96.04
0;0.022947;0.108;0.114;0.000;94.99
0;0.022920;0.110;0.116;0.000;95.34
0;0.022875;0.108;0.114;0.000;94.73
0;0.022954;0.085;0.118;0.028;96.34
0;0.022883;0.091;0.116;0.020;94.92
0;0.023075;0.100;0.115;0.010;95.72
0;0.025472;0.113;0.119;0.000;95.68
0;0.025111;0.121;0.126;0.000;95.91
0;0.023766;0.106;0.122;0.011;95.45
0;0.023603;0.104;0.119;0.009;95.18
0;0.023307;0.111;0.118;0.000;94.63
0;0.023163;0.112;0.117;0.000;95.21
0;0.030195;0.142;0.146;0.000;97.47
0;0.026841;0.132;0.137;0.000;96.13
0;0.027783;0.132;0.138;0.000;95.70
0;0.026498;0.131;0.137;0.000;95.62
0;0.026579;0.127;0.133;0.000;95.54
0;0.025886;0.129;0.135;0.000;95.43
0;0.024298;0.113;0.133;0.009;91.99
0;0.023994;0.115;0.121;0.000;95.13
0;0.024017;0.103;0.119;0.010;95.51
0;0.023906;0.111;0.116;0.000;95.70
0;0.023143;0.110;0.116;0.000;95.00
0;0.023415;0.110;0.115;0.000;95.31
0;0.022881;0.108;0.114;0.000;95.22
0;0.023749;0.112;0.117;0.000;95.82
0;0.023690;0.102;0.118;0.010;94.87
0;0.022649;0.110;0.116;0.000;94.53
0;0.022830;0.111;0.116;0.000;95.31
0;0.024288;0.101;0.116;0.010;95.99
0;0.022793;0.097;0.113;0.011;95.11
0;0.022727;0.098;0.113;0.010;95.36
0;0.022760;0.097;0.113;0.011;94.69
0;0.023729;0.100;0.114;0.010;96.08
0;0.023041;0.100;0.116;0.010;94.65
0;0.023043;0.112;0.123;0.000;90.88
0;0.025856;0.111;0.127;0.010;95.59
0;0.025181;0.110;0.126;0.010;94.94
0;0.023800;0.115;0.120;0.000;95.11
0;0.024130;0.112;0.118;0.000;95.16
0;0.023203;0.110;0.116;0.000;95.11
0;0.022845;0.108;0.114;0.000;94.74
0;0.022907;0.109;0.114;0.000;94.83
0;0.023549;0.109;0.115;0.000;94.89
0;0.022912;0.108;0.114;0.000;94.69
0;0.023211;0.109;0.115;0.000;94.70
0;0.022801;0.099;0.115;0.010;95.08
0;0.023139;0.109;0.114;0.000;94.96
0;0.022668;0.108;0.113;0.000;95.23
0;0.023032;0.109;0.114;0.000;95.45
0;0.023422;0.091;0.115;0.018;95.31
0;0.023101;0.099;0.113;0.010;96.13
0;0.023070;0.108;0.114;0.000;94.93
0;0.022985;0.108;0.114;0.000;94.40
0;0.023341;0.110;0.113;0.000;96.74
0;0.022753;0.108;0.114;0.000;95.05
0;0.023291;0.109;0.114;0.000;95.16
0;0.023181;0.112;0.117;0.000;95.11
0;0.023048;0.108;0.114;0.000;95.30
0;0.022956;0.109;0.115;0.000;94.86
0;0.023067;0.111;0.116;0.000;94.98
0;0.023269;0.109;0.115;0.000;94.09
0;0.023115;0.099;0.113;0.010;95.80
0;0.022978;0.090;0.115;0.020;95.58
0;0.024008;0.111;0.115;0.000;96.16
0;0.023767;0.111;0.117;0.000;95.09
0;0.023153;0.091;0.115;0.020;95.97
0;0.022743;0.109;0.114;0.000;95.19
0;0.023694;0.104;0.129;0.019;95.29
0;0.023206;0.111;0.116;0.000;95.54
0;0.022605;0.108;0.114;0.000;94.62
0;0.022881;0.100;0.115;0.010;95.27
0;0.023171;0.100;0.115;0.009;94.83
0;0.022814;0.110;0.116;0.000;95.16
0;0.022802;0.108;0.113;0.000;95.90
0;0.023981;0.103;0.119;0.010;95.26
0;0.024743;0.115;0.121;0.000;94.80
0;0.023331;0.111;0.117;0.000;94.94
0;0.023774;0.103;0.119;0.010;95.54
0;0.022846;0.110;0.115;0.000;95.55
0;0.023208;0.107;0.112;0.000;95.54
0;0.022611;0.113;0.117;0.000;96.15
0;0.022856;0.100;0.116;0.010;94.58
0;0.022811;0.098;0.114;0.010;94.90
0;0.023080;0.108;0.114;0.000;94.55
0;0.022895;0.098;0.114;0.010;94.80
0;0.022761;0.086;0.113;0.021;95.80
0;0.022772;0.108;0.114;0.000;94.66
0;0.023321;0.108;0.113;0.000;95.21
0;0.023145;0.111;0.117;0.000;94.98
0;0.022773;0.108;0.114;0.000;95.12
0;0.022680;0.098;0.113;0.010;94.76
0;0.025460;0.112;0.118;0.000;95.05
0;0.022675;0.098;0.111;0.010;96.53
0;0.023151;0.108;0.114;0.000;94.72
0;0.022921;0.101;0.116;0.010;95.38
0;0.024508;0.111;0.115;0.000;96.02
0;0.023134;0.100;0.116;0.010;95.21
0;0.023019;0.100;0.114;0.010;96.26
0;0.022573;0.099;0.114;0.010;95.51
0;0.023212;0.090;0.115;0.020;95.18
0;0.022728;0.101;0.125;0.018;95.64
0;0.022486;0.108;0.113;0.000;95.51
0;0.023574;0.111;0.116;0.000;96.41
0;0.023087;0.100;0.115;0.010;95.39
0;0.022887;0.099;0.114;0.009;95.27
0;0.022859;0.109;0.114;0.000;95.02
0;0.024598;0.112;0.129;0.010;95.34
0;0.023836;0.117;0.122;0.000;95.73
0;0.023480;0.114;0.120;0.000;95.00
0;0.023479;0.112;0.117;0.000;95.23
0;0.023442;0.112;0.118;0.000;95.04
0;0.023354;0.101;0.116;0.010;95.65
0;0.023245;0.109;0.115;0.000;94.60
0;0.022802;0.099;0.115;0.010;95.12
0;0.022674;0.109;0.115;0.000;95.13
0;0.023213;0.111;0.116;0.000;95.19
0;0.023154;0.100;0.115;0.010;95.56
0;0.022763;0.109;0.114;0.000;95.45
0;0.022718;0.091;0.114;0.018;95.29
0;0.023189;0.102;0.116;0.009;95.89
0;0.024677;0.100;0.114;0.010;96.20
0;0.023981;0.115;0.121;0.000;95.21
0;0.023653;0.114;0.120;0.000;95.04
0;0.023852;0.112;0.118;0.000;94.92
0;0.022555;0.101;0.117;0.010;94.90
0;0.022998;0.090;0.114;0.020;96.44
0;0.023052;0.108;0.114;0.000;95.11
0;0.022670;0.109;0.114;0.000;95.74
0;0.022983;0.110;0.116;0.000;95.08
0;0.022920;0.098;0.113;0.010;95.67
0;0.023179;0.099;0.114;0.010;95.62
0;0.023564;0.112;0.116;0.000;96.85
0;0.022812;0.086;0.114;0.022;94.89
0;0.022744;0.105;0.122;0.011;95.14
0;0.022868;0.110;0.116;0.000;94.78
0;0.022886;0.098;0.113;0.010;95.36
0;0.024859;0.115;0.121;0.000;95.36
0;0.023932;0.115;0.122;0.000;94.37
0;0.023823;0.113;0.119;0.000;94.97
0;0.023501;0.111;0.116;0.000;95.37
0;0.027866;0.106;0.120;0.010;96.40
0;0.024193;0.104;0.119;0.009;95.15
0;0.023231;0.093;0.117;0.018;95.00
0;0.022573;0.098;0.113;0.010;95.03
0;0.022863;0.111;0.118;0.000;94.01
0;0.022942;0.109;0.115;0.000;94.89
0;0.023186;0.110;0.115;0.000;95.38
0;0.023037;0.109;0.115;0.000;95.15
0;0.023578;0.099;0.115;0.010;95.27
0;0.022565;0.121;0.137;0.011;95.84
0;0.023248;0.101;0.117;0.010;94.71
