nThread;timeInt;user;real;sys;pCPU
8;0.012112;0.140;0.116;0.028;144.65
8;0.011717;0.158;0.110;0.000;143.98
8;0.011769;0.150;0.110;0.009;144.20
8;0.011768;0.140;0.109;0.019;145.64
8;0.012365;0.158;0.109;0.000;144.34
8;0.012027;0.157;0.108;0.000;144.53
8;0.011704;0.139;0.108;0.017;145.12
8;0.014520;0.165;0.122;0.010;143.07
8;0.011869;0.171;0.121;0.000;142.17
8;0.011704;0.164;0.115;0.000;142.41
8;0.011597;0.151;0.111;0.009;143.77
8;0.011741;0.150;0.110;0.009;144.69
8;0.011852;0.164;0.113;0.000;144.41
8;0.012206;0.147;0.111;0.015;145.02
8;0.011413;0.157;0.109;0.000;143.51
8;0.012738;0.160;0.110;0.000;145.54
8;0.011723;0.149;0.108;0.009;146.87
8;0.011551;0.161;0.114;0.000;141.83
8;0.011605;0.156;0.107;0.000;145.17
8;0.011604;0.146;0.107;0.009;145.17
8;0.011697;0.155;0.107;0.000;145.20
8;0.011456;0.157;0.108;0.000;144.41
8;0.011711;0.158;0.107;0.000;147.18
8;0.011477;0.158;0.109;0.000;145.40
8;0.011514;0.146;0.112;0.015;143.03
8;0.011661;0.154;0.108;0.000;143.47
8;0.014385;0.157;0.112;0.010;149.03
8;0.011553;0.158;0.114;0.000;138.70
8;0.011525;0.158;0.110;0.000;143.27
8;0.012288;0.152;0.109;0.010;148.41
8;0.011909;0.150;0.111;0.009;144.05
8;0.011591;0.160;0.112;0.000;143.92
8;0.011830;0.161;0.111;0.000;144.41
8;0.011421;0.157;0.109;0.000;144.10
8;0.011666;0.158;0.109;0.000;144.64
8;0.011825;0.161;0.111;0.000;145.28
8;0.011844;0.152;0.111;0.010;145.50
8;0.011646;0.159;0.109;0.000;145.83
8;0.012229;0.164;0.115;0.000;143.41
8;0.019462;0.140;0.119;0.070;176.91
8;0.011571;0.166;0.116;0.000;143.61
8;0.011944;0.164;0.114;0.000;143.61
8;0.011808;0.146;0.111;0.015;144.79
8;0.011761;0.145;0.112;0.016;143.54
8;0.011516;0.150;0.110;0.009;144.16
8;0.012056;0.152;0.109;0.009;147.12
8;0.012363;0.152;0.110;0.010;146.95
8;0.011772;0.160;0.110;0.000;145.46
8;0.011552;0.158;0.109;0.000;145.52
8;0.011656;0.159;0.109;0.000;146.05
8;0.012093;0.159;0.110;0.000;144.47
8;0.011659;0.156;0.118;0.010;140.45
8;0.011902;0.141;0.109;0.018;144.95
8;0.011584;0.156;0.108;0.000;144.02
8;0.012154;0.144;0.112;0.018;144.78
8;0.011935;0.147;0.109;0.009;143.99
8;0.011674;0.160;0.112;0.000;142.86
8;0.011559;0.159;0.111;0.000;143.48
8;0.012456;0.143;0.110;0.016;145.29
8;0.011921;0.140;0.110;0.019;144.16
8;0.011818;0.151;0.110;0.010;145.73
8;0.012011;0.129;0.111;0.032;144.98
8;0.011662;0.156;0.108;0.000;145.23
8;0.011582;0.159;0.111;0.000;144.00
8;0.011693;0.150;0.109;0.009;145.56
8;0.011820;0.149;0.109;0.009;145.23
8;0.011571;0.159;0.111;0.000;143.52
8;0.013746;0.160;0.115;0.009;146.99
8;0.011779;0.164;0.115;0.000;143.11
8;0.011875;0.161;0.110;0.000;146.55
