blockSize;gridSize;elapsedInit;elapsedSort
32;3125000;0.012818;0.243514
32;3125000;0.009657;0.206617
32;3125000;0.009546;0.210799
32;3125000;0.009618;0.199482
32;3125000;0.009615;0.202114
32;3125000;0.009799;0.214595
32;3125000;0.009559;0.201887
32;3125000;0.009671;0.206428
32;3125000;0.009527;0.206582
32;3125000;0.009594;0.199531
32;3125000;0.00973;0.219755
32;3125000;0.009617;0.206526
32;3125000;0.009601;0.207514
32;3125000;0.009592;0.208616
32;3125000;0.009594;0.207915
32;3125000;0.009568;0.209224
32;3125000;0.010541;0.211652
32;3125000;0.0096;0.205325
32;3125000;0.00963;0.203399
32;3125000;0.00968;0.208065
32;3125000;0.009574;0.205981
32;3125000;0.012954;0.235514
32;3125000;0.009571;0.210911
32;3125000;0.009618;0.209376
32;3125000;0.009583;0.205025
32;3125000;0.009683;0.207931
32;3125000;0.009625;0.222174
32;3125000;0.009731;0.20567
32;3125000;0.009569;0.207009
32;3125000;0.009667;0.202598
32;3125000;0.00964;0.209119
32;3125000;0.009528;0.200807
32;3125000;0.009587;0.226909
32;3125000;0.009621;0.200721
32;3125000;0.009698;0.206232
32;3125000;0.009598;0.206796
32;3125000;0.009596;0.203403
32;3125000;0.010833;0.210827
32;3125000;0.010633;0.216375
32;3125000;0.009623;0.209327
32;3125000;0.009585;0.207736
32;3125000;0.009567;0.207165
32;3125000;0.009569;0.202995
32;3125000;0.011807;0.225999
32;3125000;0.009606;0.20871
32;3125000;0.009596;0.205747
32;3125000;0.009731;0.204943
32;3125000;0.009576;0.209042
32;3125000;0.009587;0.258029
32;3125000;0.009763;0.208427
64;1562500;0.00544;0.18632
64;1562500;0.005381;0.192547
64;1562500;0.005402;0.183253
64;1562500;0.005395;0.184579
64;1562500;0.006377;0.201698
64;1562500;0.005439;0.183588
64;1562500;0.005359;0.194238
64;1562500;0.005503;0.187865
64;1562500;0.005581;0.18343
64;1562500;0.007162;0.222147
64;1562500;0.005542;0.193924
64;1562500;0.005386;0.186608
64;1562500;0.005412;0.189305
64;1562500;0.00575;0.189443
64;1562500;0.005437;0.186537
64;1562500;0.005436;0.184411
64;1562500;0.005439;0.193159
64;1562500;0.005393;0.183601
64;1562500;0.005384;0.185303
64;1562500;0.005453;0.190488
64;1562500;0.005421;0.187809
64;1562500;0.005384;0.188388
64;1562500;0.005515;0.186454
64;1562500;0.005431;0.190239
64;1562500;0.00534;0.191643
64;1562500;0.007142;0.211026
64;1562500;0.005783;0.192177
64;1562500;0.005404;0.188047
64;1562500;0.005339;0.191639
64;1562500;0.005411;0.18962
64;1562500;0.005405;0.212535
64;1562500;0.005494;0.188059
64;1562500;0.005386;0.187454
64;1562500;0.005431;0.185601
64;1562500;0.005458;0.187386
64;1562500;0.005475;0.187174
64;1562500;0.005842;0.193418
64;1562500;0.005423;0.189517
64;1562500;0.005515;0.188039
64;1562500;0.006335;0.194102
64;1562500;0.005435;0.185145
64;1562500;0.006638;0.207933
64;1562500;0.005505;0.193235
64;1562500;0.005378;0.18267
64;1562500;0.005399;0.184683
64;1562500;0.005413;0.188941
64;1562500;0.005396;0.195474
64;1562500;0.005326;0.191544
64;1562500;0.0054;0.18355
64;1562500;0.005404;0.187103
128;781250;0.004348;0.183028
128;781250;0.004534;0.179728
128;781250;0.004483;0.185726
128;781250;0.004396;0.182206
128;781250;0.004343;0.181012
128;781250;0.004379;0.175575
128;781250;0.004393;0.184184
128;781250;0.005308;0.200512
128;781250;0.004415;0.179614
128;781250;0.004483;0.18172
128;781250;0.004432;0.181318
128;781250;0.004327;0.180166
128;781250;0.004811;0.221149
128;781250;0.004797;0.186151
128;781250;0.00441;0.17921
128;781250;0.004318;0.184658
128;781250;0.004465;0.188109
128;781250;0.004373;0.182485
128;781250;0.004805;0.186997
128;781250;0.004306;0.178339
128;781250;0.004399;0.182497
128;781250;0.004381;0.1833
128;781250;0.004425;0.18103
128;781250;0.004812;0.192066
128;781250;0.004362;0.184771
128;781250;0.004432;0.182695
128;781250;0.004436;0.181211
128;781250;0.004387;0.186422
128;781250;0.004428;0.21983
128;781250;0.004425;0.188988
128;781250;0.004358;0.177635
128;781250;0.004446;0.186323
128;781250;0.004327;0.178615
128;781250;0.004414;0.181621
128;781250;0.004435;0.181788
128;781250;0.004415;0.184704
128;781250;0.004315;0.177328
128;781250;0.00436;0.18862
128;781250;0.00433;0.182985
128;781250;0.005716;0.200322
128;781250;0.004293;0.179404
128;781250;0.004362;0.180898
128;781250;0.004482;0.177758
128;781250;0.004372;0.176196
128;781250;0.004365;0.185641
128;781250;0.004306;0.177379
128;781250;0.004398;0.184803
128;781250;0.00482;0.181444
128;781250;0.004943;0.180354
128;781250;0.00457;0.184
256;390625;0.005697;0.207716
256;390625;0.004442;0.17876
256;390625;0.004369;0.181953
256;390625;0.004371;0.180225
256;390625;0.004337;0.183363
256;390625;0.004321;0.189519
256;390625;0.00433;0.18237
256;390625;0.004331;0.180187
256;390625;0.00444;0.185586
256;390625;0.004344;0.182118
256;390625;0.004363;0.184728
256;390625;0.004929;0.265699
256;390625;0.004384;0.189247
256;390625;0.004349;0.185092
256;390625;0.004321;0.184199
256;390625;0.00438;0.178933
256;390625;0.005275;0.201357
256;390625;0.00444;0.18638
256;390625;0.004348;0.18301
256;390625;0.004342;0.182696
256;390625;0.004322;0.185513
256;390625;0.005082;0.19615
256;390625;0.004335;0.185483
256;390625;0.004517;0.185378
256;390625;0.004438;0.177788
256;390625;0.004322;0.185707
256;390625;0.004428;0.197487
256;390625;0.004337;0.180952
256;390625;0.004323;0.178554
256;390625;0.00431;0.188041
256;390625;0.004596;0.180503
256;390625;0.004361;0.181274
256;390625;0.004353;0.182254
256;390625;0.004344;0.180596
256;390625;0.004356;0.186482
256;390625;0.004356;0.180489
256;390625;0.004374;0.182327
256;390625;0.005307;0.194251
256;390625;0.004357;0.182861
256;390625;0.004339;0.179446
256;390625;0.004332;0.178177
