nThread;timeInt;user;real;sys;pCPU
1;0.041277;0.127;0.132;0.000;96.20
1;0.041077;0.127;0.132;0.000;96.01
1;0.041863;0.127;0.133;0.000;95.45
1;0.041717;0.117;0.133;0.011;95.88
1;0.041454;0.127;0.132;0.000;96.22
1;0.041791;0.116;0.133;0.011;95.37
1;0.041837;0.108;0.133;0.020;95.85
1;0.041670;0.127;0.133;0.000;95.44
1;0.047810;0.130;0.146;0.010;95.97
1;0.040956;0.116;0.132;0.011;96.06
1;0.041693;0.127;0.133;0.000;95.70
1;0.041558;0.118;0.134;0.010;95.47
1;0.040762;0.116;0.132;0.011;96.27
1;0.041364;0.116;0.130;0.010;96.13
1;0.042357;0.117;0.132;0.010;96.07
1;0.041417;0.117;0.132;0.010;96.18
1;0.041354;0.118;0.133;0.010;96.04
1;0.040907;0.106;0.134;0.021;95.36
1;0.043044;0.127;0.133;0.000;95.81
1;0.042305;0.120;0.137;0.010;94.85
1;0.042029;0.119;0.135;0.010;96.02
1;0.041004;0.116;0.132;0.011;95.59
1;0.042369;0.113;0.138;0.019;95.66
1;0.048485;0.122;0.149;0.021;95.98
1;0.041768;0.128;0.133;0.000;96.08
1;0.042474;0.130;0.135;0.000;96.07
1;0.042921;0.131;0.137;0.000;95.84
1;0.041539;0.109;0.134;0.020;95.84
1;0.041857;0.107;0.134;0.021;95.74
1;0.041951;0.120;0.135;0.010;96.45
1;0.041445;0.118;0.133;0.010;95.84
1;0.041410;0.116;0.133;0.011;95.71
1;0.041612;0.119;0.134;0.010;95.86
1;0.041319;0.128;0.134;0.000;95.80
1;0.045228;0.113;0.137;0.019;96.28
1;0.042815;0.130;0.136;0.000;95.58
1;0.041637;0.117;0.133;0.011;95.65
1;0.047814;0.140;0.145;0.000;96.94
1;0.041853;0.110;0.133;0.018;96.39
1;0.041380;0.110;0.135;0.020;96.19
1;0.041256;0.117;0.132;0.011;96.32
1;0.041354;0.116;0.131;0.010;96.28
1;0.041857;0.108;0.134;0.021;96.20
1;0.040753;0.127;0.132;0.000;96.17
1;0.041597;0.129;0.135;0.000;95.62
1;0.041223;0.127;0.132;0.000;96.14
1;0.041547;0.119;0.135;0.010;95.63
1;0.041223;0.105;0.132;0.021;95.28
1;0.041336;0.126;0.132;0.000;95.39
1;0.041611;0.122;0.137;0.009;95.68
1;0.040959;0.105;0.132;0.021;95.91
1;0.049518;0.109;0.142;0.027;95.94
1;0.042518;0.113;0.137;0.019;95.82
1;0.042317;0.121;0.137;0.011;95.87
1;0.042209;0.120;0.135;0.010;96.34
1;0.042841;0.131;0.137;0.000;95.93
1;0.042066;0.121;0.135;0.009;96.15
1;0.042684;0.131;0.136;0.000;95.70
1;0.041993;0.121;0.137;0.010;95.61
1;0.042771;0.130;0.136;0.000;95.04
1;0.041961;0.134;0.140;0.000;95.63
1;0.041978;0.120;0.136;0.010;95.60
1;0.042468;0.130;0.136;0.000;95.56
1;0.042273;0.130;0.136;0.000;95.36
1;0.042479;0.120;0.135;0.010;96.06
1;0.048168;0.143;0.148;0.000;96.52
1;0.042223;0.120;0.136;0.010;95.60
1;0.042889;0.121;0.137;0.010;96.09
1;0.042713;0.131;0.137;0.000;95.13
1;0.050805;0.111;0.144;0.028;96.37
1;0.041700;0.128;0.133;0.000;95.74
1;0.042193;0.130;0.136;0.000;95.50
1;0.042153;0.130;0.136;0.000;95.58
1;0.041992;0.119;0.135;0.011;96.20
1;0.041670;0.110;0.136;0.020;95.52
1;0.042972;0.120;0.135;0.010;96.58
1;0.041586;0.119;0.135;0.010;95.34
1;0.041936;0.120;0.136;0.010;95.87
1;0.041104;0.128;0.134;0.000;95.77
1;0.042741;0.120;0.135;0.010;96.04
1;0.042633;0.120;0.137;0.011;95.75
1;0.042167;0.131;0.137;0.000;95.34
1;0.041995;0.120;0.136;0.010;95.14
1;0.041959;0.129;0.136;0.000;94.91
1;0.041788;0.102;0.136;0.028;95.32
1;0.043222;0.111;0.138;0.020;95.29
1;0.042725;0.132;0.138;0.000;95.90
1;0.041855;0.165;0.181;0.010;96.88
1;0.042976;0.122;0.137;0.010;96.25
1;0.042515;0.120;0.136;0.010;95.77
1;0.042451;0.110;0.136;0.020;95.48
1;0.042212;0.131;0.136;0.000;96.05
1;0.043624;0.124;0.140;0.010;95.97
1;0.048852;0.128;0.153;0.020;96.15
1;0.042123;0.121;0.136;0.010;96.11
1;0.042822;0.121;0.138;0.010;95.42
1;0.043129;0.123;0.140;0.010;95.64
1;0.042583;0.110;0.134;0.020;96.33
1;0.042637;0.123;0.138;0.010;96.22
1;0.043513;0.134;0.140;0.000;95.75
1;0.043951;0.114;0.137;0.019;97.18
1;0.042606;0.123;0.139;0.010;95.64
1;0.042350;0.129;0.136;0.000;95.21
1;0.042823;0.121;0.138;0.010;95.26
1;0.042527;0.131;0.136;0.000;95.95
1;0.042926;0.122;0.137;0.009;96.03
1;0.041433;0.129;0.135;0.000;95.73
1;0.049920;0.113;0.146;0.028;96.91
1;0.042750;0.132;0.137;0.000;95.94
1;0.043817;0.112;0.139;0.020;95.52
1;0.043185;0.121;0.136;0.010;96.06
1;0.043597;0.122;0.138;0.010;96.00
1;0.042344;0.119;0.136;0.011;95.24
1;0.042427;0.122;0.139;0.009;94.63
1;0.042597;0.131;0.137;0.000;95.27
1;0.043431;0.123;0.138;0.009;96.26
1;0.042025;0.131;0.137;0.000;95.25
1;0.043178;0.132;0.137;0.000;96.31
