nThread;timeInt;user;real;sys;pCPU
16;0.043403;0.223;0.142;0.000;157.21
16;0.040752;0.202;0.137;0.017;159.10
16;0.042291;0.202;0.139;0.017;157.08
16;0.041024;0.199;0.137;0.012;154.84
16;0.041996;0.214;0.138;0.008;161.09
16;0.040945;0.216;0.137;0.000;157.57
16;0.039603;0.220;0.134;0.000;163.67
16;0.039725;0.193;0.134;0.017;156.44
16;0.040987;0.203;0.137;0.011;156.15
16;0.041151;0.195;0.137;0.023;158.40
16;0.041953;0.218;0.139;0.000;157.12
16;0.041690;0.216;0.137;0.000;158.00
16;0.040552;0.216;0.135;0.000;159.46
16;0.041357;0.212;0.137;0.000;154.96
16;0.039607;0.215;0.135;0.000;158.49
16;0.040899;0.200;0.135;0.017;160.01
16;0.042137;0.209;0.135;0.000;155.11
16;0.040255;0.213;0.135;0.000;158.15
16;0.040489;0.215;0.137;0.000;157.28
16;0.040428;0.218;0.137;0.000;159.90
16;0.039147;0.198;0.135;0.016;158.37
16;0.041414;0.210;0.135;0.008;162.11
16;0.043292;0.197;0.138;0.017;155.41
16;0.039611;0.217;0.135;0.000;160.41
16;0.046559;0.201;0.143;0.028;159.75
16;0.040518;0.220;0.138;0.000;159.71
16;0.040531;0.218;0.138;0.000;158.15
16;0.040004;0.215;0.135;0.000;158.69
16;0.039276;0.207;0.136;0.011;159.97
16;0.040508;0.189;0.133;0.021;158.45
16;0.040239;0.207;0.136;0.010;159.60
16;0.043503;0.208;0.141;0.011;155.60
16;0.039940;0.200;0.137;0.017;157.92
16;0.040146;0.213;0.135;0.000;158.35
16;0.042105;0.196;0.138;0.016;153.38
16;0.040564;0.152;0.140;0.067;156.41
16;0.041166;0.221;0.137;0.000;161.73
16;0.042049;0.214;0.137;0.000;156.75
16;0.040738;0.210;0.135;0.008;161.78
16;0.039985;0.218;0.136;0.000;160.62
16;0.041648;0.203;0.139;0.016;157.05
16;0.040788;0.170;0.137;0.048;158.93
16;0.040303;0.215;0.134;0.000;160.85
16;0.039287;0.220;0.137;0.000;160.49
16;0.040452;0.209;0.137;0.008;158.74
16;0.041017;0.217;0.136;0.000;160.49
16;0.040308;0.217;0.134;0.000;161.22
16;0.041312;0.191;0.138;0.024;155.99
16;0.040727;0.198;0.134;0.016;159.59
16;0.039967;0.212;0.134;0.000;158.30
16;0.040312;0.216;0.134;0.000;160.63
16;0.042024;0.169;0.136;0.042;156.16
16;0.041026;0.193;0.135;0.021;158.69
16;0.039670;0.208;0.133;0.000;155.99
16;0.040411;0.193;0.135;0.021;159.45
16;0.039406;0.218;0.137;0.000;158.59
16;0.040218;0.214;0.135;0.000;158.89
16;0.039852;0.215;0.136;0.000;158.48
16;0.042036;0.206;0.139;0.016;160.13
16;0.039644;0.190;0.135;0.024;158.81
16;0.042455;0.194;0.136;0.016;154.63
16;0.040439;0.215;0.135;0.000;159.29
16;0.041955;0.232;0.166;0.017;149.85
16;0.040750;0.228;0.145;0.000;156.88
16;0.044420;0.200;0.141;0.016;152.53
16;0.043008;0.215;0.142;0.009;158.00
16;0.040970;0.216;0.138;0.000;156.89
16;0.040067;0.204;0.137;0.008;155.47
16;0.047367;0.218;0.146;0.009;155.75
16;0.041545;0.216;0.143;0.011;158.56
16;0.040068;0.221;0.137;0.000;160.64
16;0.040494;0.210;0.138;0.011;160.66
16;0.040856;0.181;0.138;0.033;155.42
16;0.040033;0.217;0.136;0.000;159.87
16;0.040880;0.181;0.135;0.036;161.13
16;0.039458;0.205;0.136;0.011;159.30
16;0.039581;0.215;0.136;0.000;157.78
16;0.039488;0.204;0.139;0.011;155.34
16;0.040658;0.215;0.136;0.000;157.76
16;0.041721;0.211;0.135;0.000;155.82
16;0.041208;0.218;0.137;0.000;159.53
16;0.041109;0.214;0.137;0.000;155.97
16;0.040524;0.160;0.138;0.059;158.95
16;0.042264;0.205;0.139;0.011;154.82
16;0.040592;0.190;0.135;0.020;155.52
16;0.042274;0.186;0.137;0.023;153.12
16;0.039891;0.213;0.133;0.000;159.95
16;0.040140;0.195;0.135;0.015;156.22
16;0.040960;0.195;0.135;0.021;160.12
16;0.042335;0.203;0.137;0.008;154.07
16;0.040918;0.217;0.135;0.000;160.32
16;0.040375;0.218;0.144;0.009;157.54
16;0.042166;0.218;0.138;0.000;157.91
16;0.040597;0.215;0.137;0.000;156.89
16;0.041952;0.213;0.145;0.012;154.49
16;0.041815;0.221;0.139;0.000;159.03
16;0.042237;0.213;0.139;0.000;153.16
16;0.041576;0.204;0.138;0.011;155.96
16;0.040560;0.207;0.137;0.011;159.51
16;0.040696;0.218;0.135;0.000;160.87
16;0.041647;0.214;0.136;0.000;157.98
16;0.040633;0.214;0.137;0.000;155.78
16;0.040059;0.199;0.134;0.017;161.10
16;0.039490;0.181;0.136;0.033;156.58
16;0.042295;0.198;0.137;0.016;156.98
16;0.039725;0.211;0.144;0.011;154.46
16;0.039588;0.205;0.136;0.011;158.09
16;0.040288;0.216;0.134;0.000;160.50
16;0.043723;0.232;0.145;0.000;159.94
16;0.041580;0.188;0.142;0.038;159.15
16;0.042100;0.193;0.142;0.032;158.25
16;0.041470;0.202;0.137;0.016;159.10
16;0.041886;0.200;0.137;0.015;157.60
16;0.042038;0.213;0.138;0.000;154.53
16;0.040506;0.213;0.135;0.000;157.89
16;0.041096;0.208;0.135;0.011;162.09
16;0.039705;0.208;0.136;0.010;159.84
16;0.041874;0.204;0.136;0.008;155.29
16;0.041412;0.210;0.140;0.011;157.96
16;0.041003;0.214;0.137;0.000;156.05
16;0.039170;0.209;0.134;0.008;161.61
16;0.040454;0.214;0.134;0.000;159.43
16;0.039425;0.222;0.138;0.000;161.36
16;0.042672;0.214;0.138;0.000;155.66
16;0.042655;0.211;0.142;0.009;154.68
16;0.041915;0.184;0.138;0.033;156.99
16;0.042508;0.204;0.140;0.013;154.04
16;0.041775;0.197;0.135;0.017;158.06
16;0.040193;0.189;0.137;0.022;153.98
16;0.039342;0.218;0.137;0.000;160.00
16;0.040896;0.199;0.136;0.017;158.54
16;0.041785;0.222;0.138;0.000;160.75
16;0.040977;0.205;0.138;0.011;156.27
16;0.039838;0.203;0.136;0.012;157.71
16;0.040043;0.207;0.135;0.010;160.78
16;0.040794;0.196;0.137;0.020;156.67
16;0.041524;0.203;0.135;0.009;157.39
16;0.040033;0.220;0.136;0.000;162.23
16;0.039591;0.210;0.138;0.008;158.41
16;0.040588;0.218;0.138;0.000;157.91
16;0.041834;0.210;0.136;0.000;154.43
16;0.041464;0.211;0.135;0.000;156.09
16;0.041592;0.211;0.137;0.009;160.98
16;0.041126;0.214;0.138;0.000;155.60
16;0.040523;0.211;0.138;0.008;158.13
16;0.040501;0.206;0.136;0.008;157.07
16;0.039552;0.209;0.136;0.008;160.22
16;0.039679;0.211;0.139;0.008;157.43
16;0.043443;0.190;0.147;0.041;157.24
16;0.046476;0.230;0.151;0.009;157.90
16;0.042814;0.196;0.141;0.030;160.26
16;0.043537;0.217;0.142;0.000;153.13
16;0.040358;0.219;0.137;0.000;160.10
16;0.039477;0.218;0.136;0.000;160.12
16;0.043641;0.186;0.141;0.031;154.43
16;0.040933;0.218;0.140;0.000;156.34
16;0.041296;0.214;0.136;0.000;158.12
16;0.043193;0.191;0.148;0.029;149.14
16;0.039318;0.207;0.136;0.011;160.22
16;0.041417;0.183;0.135;0.030;157.62
16;0.040573;0.201;0.136;0.017;159.85
16;0.040382;0.208;0.142;0.009;153.14
16;0.040145;0.213;0.134;0.000;158.58
16;0.041501;0.215;0.137;0.000;157.11
16;0.040398;0.222;0.138;0.000;160.45
16;0.041003;0.220;0.137;0.000;160.18
16;0.039259;0.204;0.135;0.013;159.66
16;0.040527;0.190;0.135;0.020;156.12
16;0.040637;0.215;0.135;0.000;159.38
16;0.039792;0.205;0.134;0.009;159.27
16;0.040149;0.209;0.141;0.011;156.26
16;0.042764;0.198;0.140;0.017;154.02
16;0.040401;0.197;0.136;0.016;156.70
16;0.041233;0.184;0.138;0.031;155.42
16;0.040806;0.198;0.138;0.013;153.35
16;0.040158;0.214;0.140;0.008;159.12
16;0.040447;0.220;0.138;0.000;158.98
16;0.040346;0.211;0.137;0.000;154.09
16;0.040963;0.215;0.135;0.000;159.13
16;0.041308;0.185;0.135;0.031;160.40
16;0.039206;0.205;0.133;0.011;163.20
16;0.044247;0.209;0.144;0.016;156.47
16;0.042744;0.216;0.144;0.011;157.59
16;0.041565;0.213;0.138;0.011;161.93
16;0.041893;0.224;0.140;0.000;160.90
16;0.041099;0.219;0.137;0.000;159.63
16;0.039628;0.205;0.136;0.008;157.45
16;0.040497;0.205;0.137;0.009;156.41
16;0.040796;0.197;0.134;0.016;159.83
16;0.040791;0.198;0.137;0.016;156.26
16;0.042121;0.220;0.140;0.000;157.03
16;0.043476;0.223;0.143;0.000;155.73
16;0.043548;0.225;0.150;0.000;150.12
16;0.040274;0.204;0.137;0.017;160.87
16;0.042042;0.216;0.140;0.000;154.57
16;0.039454;0.193;0.133;0.016;157.10
16;0.041136;0.209;0.135;0.009;161.34
