nThread;timeInt;user;real;sys;pCPU
2;0.052399;0.175;0.153;0.000;114.30
2;0.050630;0.158;0.147;0.011;115.03
2;0.050286;0.167;0.146;0.000;114.37
2;0.049545;0.165;0.143;0.000;115.01
2;0.048703;0.162;0.140;0.000;115.42
2;0.048503;0.163;0.142;0.000;114.80
2;0.057245;0.165;0.151;0.010;115.75
2;0.050634;0.158;0.147;0.011;114.79
2;0.049876;0.155;0.144;0.010;114.71
2;0.048765;0.154;0.143;0.010;114.59
2;0.066719;0.187;0.169;0.020;122.65
2;0.048962;0.163;0.141;0.000;114.99
2;0.050042;0.153;0.142;0.010;115.30
2;0.049151;0.163;0.142;0.000;114.41
2;0.048879;0.162;0.140;0.000;115.38
2;0.051213;0.165;0.147;0.000;112.29
2;0.049665;0.155;0.143;0.010;115.17
2;0.049527;0.153;0.142;0.010;114.95
2;0.049868;0.165;0.143;0.000;115.12
2;0.048835;0.145;0.144;0.019;114.04
2;0.049315;0.162;0.142;0.000;114.42
2;0.049793;0.164;0.141;0.000;116.15
2;0.049251;0.152;0.141;0.010;114.99
2;0.049429;0.164;0.142;0.000;115.67
2;0.051528;0.166;0.143;0.000;115.97
2;0.050316;0.166;0.145;0.000;114.98
2;0.049212;0.144;0.143;0.020;114.62
2;0.048931;0.161;0.139;0.000;115.48
2;0.049090;0.162;0.141;0.000;114.98
2;0.048894;0.161;0.139;0.000;115.50
2;0.049314;0.161;0.138;0.000;116.40
2;0.048888;0.144;0.142;0.019;115.14
2;0.049689;0.155;0.142;0.010;115.83
2;0.048743;0.152;0.141;0.010;114.92
2;0.052440;0.171;0.146;0.000;117.57
2;0.049452;0.132;0.140;0.030;115.61
2;0.059571;0.177;0.155;0.010;120.82
2;0.064907;0.187;0.161;0.011;123.05
2;0.048967;0.152;0.140;0.010;115.44
2;0.049297;0.155;0.144;0.010;114.65
2;0.048992;0.161;0.140;0.000;115.20
2;0.056354;0.164;0.149;0.010;117.46
2;0.051570;0.163;0.154;0.010;112.12
2;0.050312;0.158;0.146;0.010;115.11
2;0.050404;0.166;0.143;0.000;115.97
2;0.049843;0.165;0.144;0.000;114.79
2;0.049335;0.164;0.143;0.000;114.58
2;0.049267;0.162;0.140;0.000;115.69
2;0.049020;0.163;0.142;0.000;114.94
2;0.050160;0.158;0.146;0.010;115.07
2;0.049891;0.164;0.142;0.000;115.46
2;0.049387;0.146;0.144;0.019;114.95
2;0.048841;0.164;0.143;0.000;114.30
2;0.049295;0.152;0.141;0.010;114.96
2;0.048734;0.161;0.140;0.000;115.08
2;0.049319;0.163;0.142;0.000;115.17
2;0.049420;0.157;0.145;0.009;114.77
2;0.048683;0.151;0.139;0.010;115.63
2;0.049028;0.142;0.141;0.021;114.76
2;0.049306;0.165;0.143;0.000;115.16
2;0.048845;0.154;0.143;0.010;114.92
2;0.049087;0.167;0.146;0.000;114.80
2;0.048884;0.142;0.140;0.020;115.76
2;0.049141;0.163;0.142;0.000;114.99
2;0.048960;0.163;0.143;0.000;113.66
2;0.049113;0.163;0.142;0.000;115.15
2;0.048724;0.165;0.144;0.000;114.31
2;0.050274;0.156;0.145;0.011;115.09
2;0.050018;0.165;0.143;0.000;115.04
2;0.049951;0.165;0.143;0.000;115.08
2;0.050188;0.157;0.145;0.010;115.54
2;0.050144;0.165;0.143;0.000;115.55
2;0.050137;0.157;0.145;0.010;115.16
2;0.050576;0.157;0.145;0.010;115.53
2;0.050175;0.168;0.147;0.000;114.75
