nThread;timeInt;user;real;sys;pCPU
4;0.017423;0.133;0.114;0.010;125.54
4;0.016908;0.136;0.117;0.009;124.32
4;0.015917;0.128;0.113;0.012;123.70
4;0.015921;0.138;0.111;0.000;123.97
4;0.015491;0.127;0.111;0.010;123.54
4;0.015835;0.132;0.115;0.010;124.03
4;0.015395;0.135;0.109;0.000;123.35
4;0.011303;0.113;0.107;0.009;114.36
4;0.015416;0.126;0.110;0.010;124.31
4;0.015869;0.138;0.109;0.000;126.18
4;0.011079;0.113;0.107;0.009;114.74
4;0.015670;0.136;0.109;0.000;124.12
4;0.013903;0.100;0.112;0.033;119.70
4;0.011390;0.091;0.105;0.030;115.02
4;0.016022;0.137;0.110;0.000;124.61
4;0.011327;0.114;0.107;0.009;114.55
4;0.011346;0.120;0.103;0.000;116.03
4;0.011185;0.112;0.105;0.009;115.82
4;0.015578;0.136;0.110;0.000;123.81
4;0.015383;0.136;0.111;0.000;123.02
4;0.017333;0.149;0.120;0.000;124.79
4;0.016185;0.125;0.118;0.021;124.04
4;0.016003;0.143;0.115;0.000;123.64
4;0.016254;0.145;0.116;0.000;124.86
4;0.011507;0.127;0.110;0.000;115.54
4;0.011274;0.125;0.109;0.000;114.19
4;0.015883;0.140;0.112;0.000;124.25
4;0.016237;0.139;0.111;0.000;124.83
4;0.015970;0.130;0.113;0.010;123.93
4;0.011407;0.127;0.109;0.000;115.78
4;0.011604;0.114;0.107;0.010;116.15
4;0.017324;0.139;0.112;0.000;124.87
4;0.016796;0.133;0.115;0.009;123.78
4;0.015714;0.138;0.112;0.000;123.74
4;0.015931;0.126;0.110;0.011;124.54
4;0.012120;0.124;0.107;0.000;116.25
4;0.011411;0.111;0.107;0.012;115.09
4;0.015774;0.137;0.110;0.000;124.17
4;0.015996;0.138;0.112;0.000;123.26
4;0.015714;0.128;0.110;0.010;124.96
4;0.015568;0.136;0.110;0.000;123.68
4;0.016021;0.141;0.114;0.000;123.74
4;0.016025;0.139;0.112;0.000;124.42
4;0.015997;0.138;0.109;0.000;125.93
4;0.015812;0.139;0.112;0.000;124.89
4;0.016237;0.157;0.128;0.000;122.08
4;0.016003;0.134;0.117;0.010;123.51
4;0.016065;0.141;0.112;0.000;125.82
4;0.015696;0.139;0.112;0.000;123.94
4;0.016217;0.128;0.111;0.011;125.38
4;0.015924;0.138;0.111;0.000;124.36
4;0.015771;0.131;0.111;0.008;124.59
4;0.012600;0.108;0.111;0.018;114.23
4;0.016177;0.137;0.110;0.000;124.95
4;0.011304;0.126;0.111;0.000;113.98
4;0.015686;0.138;0.112;0.000;123.51
4;0.011575;0.123;0.106;0.000;115.81
4;0.016964;0.144;0.115;0.000;125.90
4;0.019439;0.136;0.118;0.010;124.75
4;0.016304;0.147;0.120;0.000;123.10
4;0.016248;0.144;0.117;0.000;123.06
4;0.016134;0.141;0.112;0.000;126.11
4;0.016252;0.145;0.117;0.000;123.78
4;0.015924;0.130;0.115;0.012;123.24
4;0.011620;0.129;0.112;0.000;115.02
4;0.019032;0.141;0.118;0.012;129.94
4;0.011447;0.126;0.111;0.000;114.26
4;0.015888;0.132;0.114;0.009;124.32
4;0.016209;0.133;0.116;0.012;125.23
4;0.015991;0.129;0.113;0.011;124.12
4;0.016069;0.133;0.116;0.010;124.20
4;0.016342;0.143;0.115;0.000;124.19
4;0.011371;0.119;0.112;0.010;114.90
4;0.011819;0.126;0.109;0.000;115.10
4;0.015937;0.142;0.113;0.000;125.06
4;0.015786;0.117;0.113;0.023;124.32
4;0.015776;0.139;0.112;0.000;124.14
4;0.015023;0.138;0.112;0.000;123.38
4;0.015844;0.130;0.113;0.010;123.53
4;0.015882;0.145;0.118;0.000;122.81
4;0.011318;0.125;0.109;0.000;115.07
4;0.015678;0.132;0.114;0.008;123.34
4;0.011481;0.122;0.107;0.000;114.71
4;0.016340;0.147;0.119;0.000;123.72
4;0.011555;0.129;0.112;0.000;114.99
4;0.016070;0.144;0.117;0.000;123.57
4;0.011756;0.117;0.110;0.010;115.60
4;0.011496;0.116;0.110;0.010;114.41
4;0.016163;0.145;0.117;0.000;124.07
4;0.015561;0.142;0.115;0.000;123.35
4;0.015775;0.142;0.116;0.000;122.53
4;0.015709;0.128;0.110;0.010;124.54
4;0.015675;0.140;0.113;0.000;124.29
4;0.011519;0.123;0.107;0.000;115.42
4;0.015291;0.128;0.112;0.011;123.78
4;0.015939;0.141;0.114;0.000;123.39
4;0.015871;0.135;0.118;0.008;121.52
4;0.016999;0.133;0.115;0.009;124.10
4;0.015807;0.129;0.113;0.010;123.56
4;0.011630;0.123;0.106;0.000;116.07
4;0.016271;0.146;0.118;0.000;123.08
4;0.016455;0.134;0.116;0.010;124.35
4;0.013132;0.123;0.112;0.009;118.80
4;0.016159;0.149;0.120;0.000;123.66
4;0.016575;0.125;0.117;0.021;124.38
4;0.016067;0.130;0.113;0.011;124.66
4;0.015986;0.144;0.117;0.000;123.48
4;0.015901;0.132;0.116;0.011;123.79
4;0.016433;0.142;0.113;0.000;126.09
4;0.015929;0.144;0.116;0.000;123.96
4;0.016109;0.141;0.113;0.000;124.71
4;0.016480;0.145;0.118;0.000;123.17
4;0.011507;0.129;0.112;0.000;114.36
4;0.015928;0.132;0.112;0.009;125.63
4;0.014110;0.128;0.117;0.011;118.90
4;0.011759;0.129;0.112;0.000;115.40
4;0.016101;0.142;0.114;0.000;124.44
4;0.011535;0.127;0.110;0.000;115.53
4;0.015955;0.145;0.118;0.000;123.25
4;0.015977;0.141;0.113;0.000;124.66
4;0.011369;0.125;0.109;0.000;115.09
4;0.016213;0.132;0.114;0.010;124.75
4;0.015990;0.141;0.114;0.000;124.36
4;0.011501;0.117;0.110;0.009;114.89
4;0.016002;0.143;0.116;0.000;123.37
4;0.016436;0.143;0.116;0.000;123.66
4;0.016214;0.141;0.113;0.000;124.40
4;0.016147;0.141;0.113;0.000;125.00
4;0.016082;0.141;0.114;0.000;124.20
4;0.011592;0.126;0.109;0.000;115.78
4;0.016568;0.135;0.118;0.010;123.73
4;0.015885;0.142;0.114;0.000;124.33
4;0.011617;0.116;0.108;0.010;115.89
4;0.011536;0.126;0.110;0.000;114.54
4;0.016200;0.131;0.114;0.011;124.23
4;0.011751;0.126;0.110;0.000;115.06
4;0.011527;0.126;0.109;0.000;115.81
4;0.016044;0.130;0.113;0.010;124.31
4;0.016401;0.142;0.114;0.000;124.32
4;0.011390;0.126;0.110;0.000;115.02
4;0.012021;0.117;0.109;0.010;116.75
4;0.016313;0.141;0.113;0.000;125.08
4;0.011321;0.127;0.111;0.000;114.13
4;0.015756;0.128;0.113;0.012;123.66
4;0.015898;0.130;0.113;0.010;123.88
4;0.015695;0.131;0.113;0.010;124.57
4;0.016445;0.134;0.125;0.019;122.74
4;0.016249;0.135;0.117;0.010;123.88
4;0.015962;0.143;0.116;0.000;123.19
4;0.011581;0.129;0.113;0.000;114.57
4;0.016215;0.144;0.117;0.000;123.44
4;0.016005;0.132;0.115;0.010;123.19
4;0.016282;0.120;0.115;0.022;124.02
4;0.011419;0.125;0.108;0.000;115.77
4;0.016011;0.130;0.113;0.011;124.81
4;0.015816;0.123;0.112;0.016;123.82
4;0.016041;0.138;0.111;0.000;124.40
4;0.011499;0.126;0.110;0.000;114.54
4;0.011283;0.115;0.108;0.009;114.78
4;0.015787;0.131;0.113;0.010;124.49
4;0.011695;0.113;0.108;0.013;115.97
4;0.015684;0.131;0.116;0.010;121.77
4;0.015699;0.139;0.111;0.000;125.09
4;0.015812;0.113;0.111;0.025;124.17
4;0.016001;0.140;0.113;0.000;123.63
4;0.016019;0.131;0.113;0.009;124.08
4;0.011253;0.122;0.107;0.000;114.43
4;0.015706;0.139;0.112;0.000;124.29
4;0.011228;0.124;0.107;0.000;116.36
4;0.016074;0.140;0.111;0.000;125.86
4;0.015719;0.140;0.113;0.000;123.20
4;0.015734;0.127;0.108;0.010;125.88
4;0.015804;0.140;0.113;0.000;124.02
4;0.015908;0.140;0.113;0.000;123.50
4;0.015895;0.141;0.114;0.000;123.72
4;0.015844;0.138;0.110;0.000;124.86
4;0.011404;0.124;0.108;0.000;115.02
4;0.015827;0.141;0.115;0.000;123.43
4;0.015808;0.120;0.111;0.018;124.70
4;0.015856;0.140;0.113;0.000;123.91
4;0.015824;0.137;0.109;0.000;125.66
4;0.014199;0.130;0.110;0.000;118.10
4;0.011496;0.116;0.109;0.010;114.74
4;0.015772;0.131;0.114;0.010;123.86
4;0.011394;0.122;0.107;0.000;114.55
4;0.012064;0.123;0.106;0.000;116.93
4;0.011443;0.106;0.106;0.018;116.19
4;0.016128;0.128;0.112;0.010;124.00
4;0.011553;0.123;0.106;0.000;115.76
4;0.015708;0.115;0.110;0.021;123.12
4;0.015881;0.138;0.111;0.000;124.19
4;0.016027;0.138;0.111;0.000;124.39
4;0.015790;0.138;0.112;0.000;123.46
4;0.015863;0.139;0.112;0.000;124.62
4;0.011290;0.114;0.107;0.010;115.41
4;0.015587;0.141;0.114;0.000;123.44
4;0.015697;0.139;0.112;0.000;123.67
4;0.016023;0.137;0.110;0.000;124.52
4;0.015772;0.137;0.110;0.000;124.65
4;0.015881;0.127;0.110;0.010;124.68
