nThread;timeInt;user;real;sys;pCPU
8;0.003596;0.024;0.023;0.000;102.73
8;0.001463;0.014;0.021;0.000;67.92
8;0.001358;0.015;0.020;0.000;73.06
8;0.001748;0.016;0.020;0.000;78.45
8;0.001549;0.015;0.020;0.000;73.66
8;0.001343;0.015;0.020;0.000;77.17
8;0.003500;0.027;0.022;0.000;122.78
8;0.003041;0.027;0.028;0.000;96.30
8;0.001927;0.023;0.022;0.000;107.02
8;0.001327;0.016;0.021;0.000;76.06
8;0.019257;0.059;0.043;0.025;196.29
8;0.001431;0.008;0.023;0.008;73.06
8;0.006074;0.046;0.026;0.000;175.63
8;0.003079;0.022;0.022;0.000;100.68
8;0.001306;0.020;0.019;0.000;105.86
8;0.002316;0.017;0.022;0.000;75.32
8;0.001585;0.009;0.022;0.008;78.64
8;0.001468;0.017;0.021;0.000;79.76
8;0.001386;0.016;0.020;0.000;80.10
8;0.001290;0.015;0.021;0.000;72.56
8;0.001632;0.016;0.022;0.000;75.39
8;0.002313;0.009;0.022;0.008;78.32
8;0.002939;0.018;0.021;0.000;87.62
8;0.001553;0.016;0.021;0.000;75.40
8;0.001383;0.017;0.022;0.000;75.65
8;0.001366;0.013;0.020;0.003;83.90
8;0.001288;0.015;0.020;0.000;73.53
8;0.001293;0.016;0.025;0.000;65.61
8;0.001383;0.016;0.021;0.000;75.21
8;0.014563;0.051;0.035;0.066;334.95
8;0.001493;0.016;0.021;0.000;78.85
8;0.001350;0.015;0.020;0.000;74.35
8;0.002506;0.017;0.022;0.000;75.95
8;0.001320;0.016;0.021;0.000;78.99
8;0.001797;0.000;0.021;0.016;77.08
8;0.001740;0.016;0.020;0.000;79.53
8;0.001337;0.014;0.021;0.003;81.10
8;0.001701;0.018;0.022;0.000;80.55
8;0.001332;0.015;0.021;0.002;83.35
8;0.001330;0.016;0.020;0.000;76.53
8;0.003310;0.019;0.023;0.000;84.55
8;0.001395;0.009;0.023;0.008;74.43
8;0.001428;0.014;0.019;0.000;69.51
8;0.001242;0.014;0.018;0.000;76.64
8;0.001297;0.016;0.020;0.000;78.25
8;0.001450;0.017;0.022;0.000;75.79
8;0.001450;0.021;0.022;0.000;98.22
8;0.001392;0.016;0.021;0.000;76.00
8;0.001440;0.015;0.021;0.000;70.64
8;0.001296;0.015;0.020;0.000;75.46
8;0.002086;0.018;0.022;0.000;83.12
8;0.005826;0.046;0.025;0.000;183.07
8;0.001726;0.016;0.021;0.000;79.78
8;0.001326;0.015;0.021;0.000;72.81
8;0.003084;0.015;0.023;0.005;87.68
8;0.001422;0.016;0.022;0.000;73.90
8;0.001449;0.008;0.020;0.008;80.02
8;0.001389;0.015;0.020;0.000;74.55
8;0.001312;0.016;0.020;0.000;78.70
8;0.001345;0.016;0.021;0.000;74.31
8;0.001347;0.008;0.020;0.008;79.81
8;0.001321;0.016;0.020;0.000;79.71
8;0.001313;0.012;0.021;0.005;79.43
8;0.004036;0.022;0.024;0.000;92.82
8;0.003652;0.023;0.022;0.000;106.36
8;0.001733;0.022;0.020;0.000;110.43
8;0.001272;0.007;0.020;0.007;70.82
8;0.001601;0.015;0.021;0.002;82.39
8;0.001282;0.008;0.020;0.007;75.58
8;0.007497;0.053;0.026;0.000;202.94
8;0.001550;0.019;0.021;0.006;117.43
8;0.003156;0.035;0.023;0.000;148.04
8;0.001310;0.016;0.020;0.000;76.96
8;0.001538;0.000;0.020;0.015;73.71
8;0.001636;0.015;0.021;0.000;72.19
8;0.005864;0.041;0.024;0.005;189.29
8;0.001345;0.016;0.022;0.000;74.75
8;0.001639;0.016;0.021;0.000;74.30
8;0.001799;0.016;0.022;0.000;74.49
8;0.001279;0.017;0.022;0.000;76.47
8;0.001638;0.017;0.021;0.000;78.95
8;0.003558;0.012;0.023;0.008;87.81
8;0.001359;0.016;0.021;0.000;75.61
8;0.001305;0.016;0.022;0.000;73.20
8;0.001670;0.015;0.021;0.000;73.70
8;0.002734;0.000;0.020;0.015;76.02
8;0.001324;0.016;0.021;0.000;75.20
8;0.002820;0.018;0.022;0.000;79.68
8;0.001336;0.000;0.019;0.014;74.77
8;0.001345;0.000;0.020;0.014;71.01
8;0.001389;0.008;0.021;0.008;79.35
8;0.001303;0.008;0.021;0.007;69.91
8;0.003199;0.030;0.023;0.000;134.68
8;0.001288;0.016;0.019;0.000;86.98
8;0.001379;0.016;0.021;0.000;75.42
8;0.001514;0.017;0.022;0.000;79.25
8;0.001318;0.014;0.018;0.000;74.83
8;0.001270;0.015;0.021;0.000;69.38
8;0.002991;0.022;0.022;0.000;99.52
8;0.002252;0.016;0.020;0.000;81.74
8;0.001452;0.015;0.020;0.000;74.72
8;0.003380;0.026;0.023;0.000;114.03
8;0.002034;0.017;0.021;0.000;77.69
8;0.001659;0.008;0.020;0.008;80.66
